path,exists,sha256,role
CLAUDE.md,true,972801f84080ad8cad5c4f86400bc35ee8858dee4795841ee62306204ad68648,project rules
quality_reports/Referee-Style Feedback.pdf,true,feda2e286774066d3af53cf78fef91fb1ec3f540b782714a8ffa256ffc2f4b58,original referee
quality_reports/plans/2026-07-10_referee_feedback_revision_plan.md,true,2789515c0ea3b5578bfb9b82f0b32b4ca6d746993d8999c91bf16c65cfd6fc3a,26-task source plan
quality_reports/plans/2026-09-15_refine_contribution/plan.md,true,d2d2ea2e39102ab4193ee2f82b12b0823143867a23750c38d626aa4797eb7f5d,Gate 0 requirements
quality_reports/execution/2026-09-15_refine_contribution/baseline_manifest.json,true,0f7b738c809e3e11426b423c17ed4662d67fb503b58b88b51102d8968803c3c5,base identity
quality_reports/plans/2026-09-15_refine_contribution/evidence/refine_feedback_original.md,true,f4e87230957a62bc52cae799d8f32fd8baa2e1cbe7ced2b25d74ec9ece5a89be,supporting source/output
quality_reports/plans/2026-09-15_refine_contribution/evidence/refine_followup_from_chat.md,true,c055d75e3a62e1b3d68ff22b9236a0e552fc59695eeae282214ec9138260a738,supporting source/output
quality_reports/plans/2026-09-15_refine_contribution/evidence/manuscript_pdf_text.txt,true,e1deca55922d5476dfdd69dad9449f687f5782581aa6a9911634b6199410aab1,supporting source/output
quality_reports/referee_feedback_response_matrix.csv,true,209e48fb64b74359308a734a6634887e59121a91a98e1a406510f4ba0851cd46,supporting source/output
quality_reports/adjudication/ivb-pa-refine/5375d3c27ac1/adjudication_round1.md,true,c7a4d7c9a2e6e82180f28a0bb3a8ff7b7a2ef278c96876fa80c7f8affbc6da8a,supporting source/output
quality_reports/adjudication/ivb-pa-refine/5375d3c27ac1/adjudication_round1.json,true,b10b0adbb146773541331c50869c6e0a10953475de0069e6c61a8299c3f14737,supporting source/output
quality_reports/argument_contracts/ivb-pa-refine/5375d3c27ac1/argument_contract.md,true,b40d7c955f072591ad089568f61017bf9d9f81c147ca1c4e70673d313919d085,supporting source/output
quality_reports/argument_contracts/ivb-pa-refine/5375d3c27ac1/section_reads/section_05_simulations.md,true,b4a0324c3ac1c6dceb16cad5ca91a6a5176ede863e0b510cb27e9f99bc7b5439,supporting source/output
quality_reports/argument_contracts/ivb-pa-refine/5375d3c27ac1/section_reads/section_06_applications.md,true,153d70d421c10a69ef9ca6ab2018a991f461dae92fe066e3833c874fd3dc08cb,supporting source/output
ivb_paper_pa.Rmd,true,12493a67133f988c5e6a13933bf2b89c0d9880e96bae329248a207b3aeaf7b5e,active manuscript source
ivb_paper_pa.pdf,true,5375d3c27ac1b75ca7246f0e7483470d98a69cf129a853560ae84cfe107d447c,active manuscript PDF
