"example","cell","graph","check","max_abs_difference","tolerance","pass","scope"
"E1","E1-central","known_class","same_stacked_sandwich_P_vs_Cplus",0,1.21875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-central","known_class","same_implied_influence_P_vs_Cplus",0,1.21875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-central","known_class","A_V_A_matches_direct_contrasts",0,1.21875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-central","known_class","a_V_a_matches_total_contrast",0,1.21875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-menos","known_class","same_stacked_sandwich_P_vs_Cplus",2.77555756156289e-17,1.20875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-menos","known_class","same_implied_influence_P_vs_Cplus",0,1.20875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-menos","known_class","A_V_A_matches_direct_contrasts",0,1.20875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-menos","known_class","a_V_a_matches_total_contrast",0,1.20875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-mais","known_class","same_stacked_sandwich_P_vs_Cplus",5.55111512312578e-17,1.23375e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-mais","known_class","same_implied_influence_P_vs_Cplus",2.77555756156289e-17,1.23375e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-mais","known_class","A_V_A_matches_direct_contrasts",0,1.23375e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-mais","known_class","a_V_a_matches_total_contrast",0,1.23375e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-nulo","known_class","same_stacked_sandwich_P_vs_Cplus",0,1.1875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-nulo","known_class","same_implied_influence_P_vs_Cplus",0,1.1875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-nulo","known_class","A_V_A_matches_direct_contrasts",0,1.1875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E1","E1-nulo","known_class","a_V_a_matches_total_contrast",0,1.1875e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E2","G_M","G_M","same_stacked_sandwich_P_vs_Cplus",0,1.25e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E2","G_M","G_M","same_implied_influence_P_vs_Cplus",0,1.25e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E2","G_F","G_F","same_stacked_sandwich_P_vs_Cplus",0,1.125e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
"E2","G_F","G_F","same_implied_influence_P_vs_Cplus",3.92523114670944e-17,1.125e-10,TRUE,"transporte_algebrico_HC0_no_fixture_sem_inferencia"
