"graph","source","row","column","value","expected","abs_error"
"G_M","structural_transform","D","D",1,1,0
"G_M","structural_transform","D","Z",1,1,0
"G_M","structural_transform","D","Y",2,2,0
"G_M","structural_transform","Z","D",1,1,0
"G_M","structural_transform","Z","Z",2,2,0
"G_M","structural_transform","Z","Y",3,3,0
"G_M","structural_transform","Y","D",2,2,0
"G_M","structural_transform","Y","Z",3,3,0
"G_M","structural_transform","Y","Y",6,6,0
"G_M","fixture_moments","D","D",1,1,0
"G_M","fixture_moments","D","Z",1,1,0
"G_M","fixture_moments","D","Y",2,2,0
"G_M","fixture_moments","Z","D",1,1,0
"G_M","fixture_moments","Z","Z",2,2,0
"G_M","fixture_moments","Z","Y",3,3,0
"G_M","fixture_moments","Y","D",2,2,0
"G_M","fixture_moments","Y","Z",3,3,0
"G_M","fixture_moments","Y","Y",6,6,0
"G_F","structural_transform","D","D",1,1,0
"G_F","structural_transform","D","Z",1,1,0
"G_F","structural_transform","D","Y",2,2,0
"G_F","structural_transform","Z","D",1,1,0
"G_F","structural_transform","Z","Z",2,2,0
"G_F","structural_transform","Z","Y",3,3,0
"G_F","structural_transform","Y","D",2,2,0
"G_F","structural_transform","Y","Z",3,3,0
"G_F","structural_transform","Y","Y",6,6,0
"G_F","fixture_moments","D","D",1,1,2.22044604925031e-16
"G_F","fixture_moments","D","Z",1,1,2.22044604925031e-16
"G_F","fixture_moments","D","Y",2,2,4.44089209850063e-16
"G_F","fixture_moments","Z","D",1,1,2.22044604925031e-16
"G_F","fixture_moments","Z","Z",2,2,4.44089209850063e-16
"G_F","fixture_moments","Z","Y",3,3,4.44089209850063e-16
"G_F","fixture_moments","Y","D",2,2,4.44089209850063e-16
"G_F","fixture_moments","Y","Z",3,3,4.44089209850063e-16
"G_F","fixture_moments","Y","Y",6,6,0
