"example","cell","graph","procedure","quantity","expected_from_algebra","computed_output","abs_error","tolerance","field_status","check_status"
"E1","E1-central","known_class","P","beta_B",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","beta_B",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","beta_B",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","P","beta_C",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","beta_C",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","beta_C",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","P","beta_U",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","beta_U",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","beta_U",0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-central","known_class","P","d_add",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","d_add",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","d_add",-0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-central","known_class","P","d_lag",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","d_lag",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","d_lag",-0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-central","known_class","P","signed_removal",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","signed_removal",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","signed_removal",0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-central","known_class","P","d_total",0,0,0,1e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","d_total",0,0,0,1e-10,"reportado","PASS"
"E1","E1-central","known_class","C0","d_total",0,0,0,1e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","theta_Z_U",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","pi_Z_given_L",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","theta_L_U",1,1,0,2e-10,"reportado","PASS"
"E1","E1-central","known_class","Cplus","pi_L_given_Z",0.5,0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-menos","known_class","P","beta_B",1,1,4.44089209850063e-16,2e-10,"reportado","PASS"
"E1","E1-menos","known_class","Cplus","beta_B",1,1,4.44089209850063e-16,2e-10,"reportado","PASS"
"E1","E1-menos","known_class","C0","beta_B",1,1,4.44089209850063e-16,2e-10,"reportado","PASS"
"E1","E1-menos","known_class","P","beta_C",0.9,0.9,1.11022302462516e-16,1.9e-10,"reportado","PASS"
"E1","E1-menos","known_class","Cplus","beta_C",0.9,0.9,1.11022302462516e-16,1.9e-10,"reportado","PASS"
"E1","E1-menos","known_class","C0","beta_C",0.9,0.9,1.11022302462516e-16,1.9e-10,"reportado","PASS"
"E1","E1-menos","known_class","P","beta_U",0.5,0.5,4.44089209850063e-16,1.5e-10,"reportado","PASS"
"E1","E1-menos","known_class","Cplus","beta_U",0.5,0.5,4.44089209850063e-16,1.5e-10,"reportado","PASS"
"E1","E1-menos","known_class","C0","beta_U",0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-menos","known_class","P","d_add",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-menos","known_class","Cplus","d_add",-0.5,-0.5,0,1.5e-10,"reportado","PASS"
"E1","E1-menos","known_class","C0","d_add",-0.5,,,,"campo_nao_reportado","nao_pontuado"
"E1","E1-menos","known_class","P","d_lag",-0.4,-0.4,3.33066907387547e-16,1.4e-10,"reportado","PASS"
"E1","E1-menos","known_class","Cplus","d_lag",-0.4,-0.4,3.33066907387547e-16,1.4e-10,"reportado","PASS"
