"example","cell","graph","procedure","contrast","parameter","derivative","theta_or_pi_estimates"
"E1","E1-central","known_class","P","d_add","B::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","P","d_total","B::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","P","d_lag","C::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","P","d_total","C::D",1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","P","d_add","U::D",1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","P","d_lag","U::D",1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_lag","U::L",-0.5,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_total","U::L",0.5,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_add","U::Z",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_total","U::Z",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_add","aux_Z::D",-0.5,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_total","aux_Z::D",-0.5,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_lag","aux_L::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-central","known_class","Cplus_product","d_total","aux_L::D",1,"theta_Z=0.5;pi_Z=1;theta_L=1;pi_L=0.5"
"E1","E1-menos","known_class","P","d_add","B::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=0.80000000000000071;pi_L=0.5"
"E1","E1-menos","known_class","P","d_total","B::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=0.80000000000000071;pi_L=0.5"
"E1","E1-menos","known_class","P","d_lag","C::D",-1,"theta_Z=0.5;pi_Z=1;theta_L=0.80000000000000071;pi_L=0.5"
