"example","cell","procedure","model","n","columns","rank","full_rank","kappa_design","kappa_gram","max_abs_normal_equation","row_id_signature"
"E1","E1-central","P","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","P","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","P","U",8,4,4,TRUE,4.04891733952231,16.3937316222844,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","C0","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","C0","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","Cplus","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","Cplus","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","Cplus","U",8,4,4,TRUE,4.04891733952231,16.3937316222844,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","Cplus","aux_Z",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-central","Cplus","aux_L",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","P","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,2.88657986402541e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","P","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,2.22044604925031e-16,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","P","U",8,4,4,TRUE,4.04891733952231,16.3937316222844,2.88657986402541e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","C0","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,2.88657986402541e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","C0","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,2.22044604925031e-16,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","Cplus","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,2.88657986402541e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","Cplus","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,2.22044604925031e-16,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","Cplus","U",8,4,4,TRUE,4.04891733952231,16.3937316222844,2.88657986402541e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","Cplus","aux_Z",8,3,3,TRUE,2.61803398874989,6.85410196624969,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-menos","Cplus","aux_L",8,3,3,TRUE,3.22550492667769,10.4038820320221,0,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-mais","P","B",8,3,3,TRUE,2.61803398874989,6.85410196624969,2.66453525910038e-15,"x000|x001|x010|x011|x100|x101|x110|x111"
"E1","E1-mais","P","C",8,3,3,TRUE,3.22550492667769,10.4038820320221,4.44089209850063e-16,"x000|x001|x010|x011|x100|x101|x110|x111"
