"example","graph","row_id","contrast_1","contrast_2","contrast_3","error_1","error_2","error_3","D","Z","Y"
"E2","G_M","x000",1,1,1,1,1,1,1,2,4
"E2","G_M","x001",1,1,-1,1,1,-1,1,2,2
"E2","G_M","x010",1,-1,1,1,-1,1,1,0,2
"E2","G_M","x011",1,-1,-1,1,-1,-1,1,0,0
"E2","G_M","x100",-1,1,1,-1,1,1,-1,0,0
"E2","G_M","x101",-1,1,-1,-1,1,-1,-1,0,-2
"E2","G_M","x110",-1,-1,1,-1,-1,1,-1,-2,-2
"E2","G_M","x111",-1,-1,-1,-1,-1,-1,-1,-2,-4
"E2","G_F","x000",1,1,1,1.4142135623731,0.707106781186548,1,1.4142135623731,1.4142135623731,3.82842712474619
"E2","G_F","x001",1,1,-1,1.4142135623731,0.707106781186548,-1,1.4142135623731,1.4142135623731,1.82842712474619
"E2","G_F","x010",1,-1,1,1.4142135623731,-0.707106781186548,1,0,1.4142135623731,2.4142135623731
"E2","G_F","x011",1,-1,-1,1.4142135623731,-0.707106781186548,-1,0,1.4142135623731,0.414213562373095
"E2","G_F","x100",-1,1,1,-1.4142135623731,0.707106781186548,1,0,-1.4142135623731,-0.414213562373095
"E2","G_F","x101",-1,1,-1,-1.4142135623731,0.707106781186548,-1,0,-1.4142135623731,-2.4142135623731
"E2","G_F","x110",-1,-1,1,-1.4142135623731,-0.707106781186548,1,-1.4142135623731,-1.4142135623731,-1.82842712474619
"E2","G_F","x111",-1,-1,-1,-1.4142135623731,-0.707106781186548,-1,-1.4142135623731,-1.4142135623731,-3.82842712474619
