path,md5,bytes,csv_header,static_validation
simulations/dynamics/results/sim_callaway_controls_results.csv,77b7a7e7844bcfad687a098402cc745d,41625,mechanism|nl_type|nl_str|lambda|delta_H|delta_Y|rho_Z|gamma_nl|twfe_s_mean|twfe_s_bias|twfe_s_mcse|twfe_s_rmse|twfe_l_mean|twfe_l_bias|twfe_l_mcse|twfe_l_rmse|adl_Ylag_mean|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_rmse|adl_full_mean|adl_full_bias|adl_full_mcse|adl_full_rmse|adl_Dlag_mean|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_rmse|adl_DYlag_mean|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_rmse|adl_DZlag_mean|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_rmse|adl_all_mean|adl_all_bias|adl_all_mcse|adl_all_rmse|adl_all_nofe_mean|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_rmse|n_sims|n_discarded,PASS
simulations/dynamics/results/sim_callaway_controls_raw.csv,171209a0803c4207d0c8c2d97f3d43be,5348512,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|sim|mechanism|nl_type|nl_str|gamma_nl|lambda|delta_H|delta_Y|rho_Z,PASS
simulations/dynamics/results/sim_callaway_controls_timing.csv,e56347b9d61b6578c0305b06d876b7b6,2877,mechanism|nl_type|nl_str|lambda|delta_H|delta_Y|rho_Z|gamma_nl|n_discarded|total_s,PASS
simulations/diagnostics/results/diag_heterogeneous_results.csv,70c492338d919956484c40c3036ae4db,980,sigma_beta|scenario|phi|beta2|twfe_s_bias|adl_full_bias|adl_all_bias|adl_full_rmse|adl_all_rmse,PASS
simulations/diagnostics/results/diag_ivb_sign_results.csv,cdf4bb75758f15a663daf5c63fd290e3,2636,gamma_D|delta_Y|twfe_s|twfe_l|adl_s|adl_l|IVB_TWFE|IVB_ADL|net_TWFE|net_ADL,PASS
simulations/diagnostics/results/diag_phi_bias_mechanism_results.csv,96e3b8a99f4f65d579aecf30f2ea7fba,556,phi|rho_Y|adl_fe_bias|adl_nofe_bias|r2_D_Ylag,PASS
simulations/diagnostics/results/diag_sensitivity_params_results.csv,d71624f097a82e4e813c7ee894737037,2275,rho_Y|gamma_D|gamma_Y|adl_full_bias|adl_all_bias|adl_full_rmse|adl_all_rmse|dominates,PASS
simulations/diagnostics/results/diag_short_T_results.csv,10832d9d32a0b1ea1a11c304891ac984,1193,TT|label|phi|beta2|twfe_l|adl_full|adl_all|adl_nofe|adl_all_rmse,PASS
simulations/diagnostics/results/diag_time_fe_results.csv,6915dd27317ec946d5390958fbf66939,1866,label|phi|beta2|sigma_delta|twfe_s|twfe_l|adl_full|adl_all|adl_nofe,PASS
simulations/dynamics/results/sim_direct_carryover_results.csv,d1fa5a41586d2f8e5b992e4da32dc996,5202,beta2|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|adl_DYlag_bias|adl_DYlag_mcse|adl_DYlag_sd|adl_DYlag_rmse|adl_DZlag_bias|adl_DZlag_mcse|adl_DZlag_sd|adl_DZlag_rmse|adl_all_bias|adl_all_mcse|adl_all_sd|adl_all_rmse|adl_all_nofe_bias|adl_all_nofe_mcse|adl_all_nofe_sd|adl_all_nofe_rmse|b2_Dlag_mean|b2_DYlag_mean|b2_DZlag_mean|b2_all_mean|n_sims,PASS
simulations/dynamics/results/sim_direct_carryover_raw.csv,91f7d48b203250b5bb484a807527b7f1,711514,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|adl_Dlag.D|adl_DYlag.D|adl_DZlag.D|adl_all.D|adl_all_nofe.D|b2_Dlag.D_lag|b2_DYlag.D_lag|b2_DZlag.D_lag|b2_all.D_lag|sim|beta2|rho_Z,PASS
simulations/dynamics/results/sim_direct_carryover_timing.csv,df540a4c75b083cf69a98ebf05f21760,164,beta2|rho_Z|elapsed_s|total_s,PASS
simulations/dynamics/results/sim_direct_feedback_results.csv,1cd3033b6e35cf88c12d81a821e9ab85,3154,phi|rho_Z|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_s_rmse|twfe_l_bias|twfe_l_mcse|twfe_l_sd|twfe_l_rmse|adl_Ylag_bias|adl_Ylag_mcse|adl_Ylag_sd|adl_Ylag_rmse|adl_full_bias|adl_full_mcse|adl_full_sd|adl_full_rmse|pooled_l_bias|pooled_l_mcse|pooled_l_sd|pooled_l_rmse|adl_Dlag_bias|adl_Dlag_mcse|adl_Dlag_sd|adl_Dlag_rmse|n_sims,PASS
simulations/dynamics/results/sim_direct_feedback_raw.csv,d23a192cc9ed2634ca6a6ee4a25ec01f,344325,twfe_s.D|twfe_l.D|adl_Ylag.D|adl_full.D|pooled_l.D|adl_Dlag.D|sim|phi|rho_Z,PASS
simulations/dynamics/results/sim_direct_feedback_timing.csv,e907fa69675c5033593e6b0a93b5726e,158,phi|rho_Z|elapsed_s|total_s,PASS
simulations/dual_role_z/results/sim_dual_role_z_8models_results.csv,eb5ac53a9dd902b35764d40de1b28629,5041,rho_Z|sigma_aZ|pooled_s_bias|pooled_s_mcse|pooled_s_sd|pooled_l_bias|pooled_l_mcse|pooled_l_sd|twfe_s_bias|twfe_s_mcse|twfe_s_sd|twfe_l_bias|twfe_l_mcse|twfe_l_sd|adl_s_nofe_bias|adl_s_nofe_mcse|adl_s_nofe_sd|adl_l_nofe_bias|adl_l_nofe_mcse|adl_l_nofe_sd|adl_s_fe_bias|adl_s_fe_mcse|adl_s_fe_sd|adl_l_fe_bias|adl_l_fe_mcse|adl_l_fe_sd|n_sims,PASS
simulations/dual_role_z/results/sim_dual_role_z_8models_raw.csv,25cca514b6ec2c33b409f0c94b648742,742015,pooled_s.D|pooled_l.D|twfe_s.D|twfe_l.D|adl_s_nofe.D|adl_l_nofe.D|adl_s_fe.D|adl_l_fe.D|sim|rho_Z|sigma_aZ,PASS
simulations/dual_role_z/results/sim_dual_role_z_asymmetry_results.csv,c70f7fee90dde42f0f4c7e44f923a0c5,3393,gamma_D|delta_Y|twfe_s_bias|twfe_l_bias|adl_s_bias|adl_l_bias|twfe_s_mcse|twfe_l_mcse|adl_s_mcse|adl_l_mcse,PASS
simulations/dual_role_z/results/sim_dual_role_z_results.csv,b77f0509364c86788224fd6c5da30aae,3972,rho_Z|ar_order|sigma_aZ|twfe_bias_short|twfe_bias_long|twfe_ivb|adl_bias_short|adl_bias_long|adl_ivb|n_sims|twfe_net|adl_net|best_abs_bias|best_model,PASS
simulations/dual_role_z/results/sim_dual_role_z_raw.csv,9e04225b560f985750286ac7794091ca,321391,twfe_s.D|twfe_l.D|adl_s.D|adl_l.D|sim|rho_Z|ar_order|sigma_aZ,PASS
simulations/dual_role_z/results/sim_dual_role_z_firewall_results.csv,3a5a2bc3ac6d9abeff4197f9ceb19cbb,2092,rho_Z|rho_Y|twfe_s_bias|twfe_l_bias|adl_s_bias|adl_l_bias|twfe_s_mcse|twfe_l_mcse|adl_s_mcse|adl_l_mcse,PASS
simulations/dual_role_z/results/sim_dual_role_z_varyT_8models_results.csv,4914d306c2ba0d5f4f7e0131e624c4bb,3431,TT|rho_Z|pooled_s_bias|pooled_s_mcse|pooled_l_bias|pooled_l_mcse|twfe_s_bias|twfe_s_mcse|twfe_l_bias|twfe_l_mcse|adl_s_nofe_bias|adl_s_nofe_mcse|adl_l_nofe_bias|adl_l_nofe_mcse|adl_s_fe_bias|adl_s_fe_mcse|adl_l_fe_bias|adl_l_fe_mcse|n_sims,PASS
