polity4	year	iso	dqamtcode	pwtcode	countryname	wbregion	oecd	cur100	cap100
"1950EGY"	1950	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	12.5
"1951EGY"	1951	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	12.5
"1952EGY"	1952	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	18.75	12.5
"1953EGY"	1953	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	18.75	25.0
"1954EGY"	1954	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	18.75	25.0
"1955EGY"	1955	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	18.75	37.5
"1956EGY"	1956	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
"1957EGY"	1957	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	37.5
"1958EGY"	1958	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	37.5
"1959EGY"	1959	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	37.5
"1960EGY"	1960	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	37.5
"1961EGY"	1961	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	31.25	37.5
"1962EGY"	1962	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1963EGY"	1963	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1964EGY"	1964	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1965EGY"	1965	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1966EGY"	1966	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1967EGY"	1967	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	37.5	37.5
"1968EGY"	1968	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
"1969EGY"	1969	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
"1970EGY"	1970	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
"1971EGY"	1971	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
"1972EGY"	1972	"EGY"	1	"14"	"Egypt, Arab Rep."	"mena"	"0"	43.75	37.5
