name	year	external_default_RR
"Burkina Faso"	1800	0
"Burkina Faso"	1801	0
"Burkina Faso"	1802	0
"Burkina Faso"	1803	0
"Burkina Faso"	1804	0
"Burkina Faso"	1805	0
"Burkina Faso"	1806	0
"Burkina Faso"	1807	0
"Burkina Faso"	1808	0
"Burkina Faso"	1809	0
"Burkina Faso"	1810	0
"Burkina Faso"	1811	0
"Burkina Faso"	1812	0
"Burkina Faso"	1813	0
"Burkina Faso"	1814	0
"Burkina Faso"	1815	0
"Burkina Faso"	1816	0
"Burkina Faso"	1817	0
"Burkina Faso"	1818	0
"Burkina Faso"	1819	0
"Burkina Faso"	1820	0
"Burkina Faso"	1821	0
"Burkina Faso"	1822	0
"Burkina Faso"	1823	0
"Burkina Faso"	1824	0
"Burkina Faso"	1825	0
"Burkina Faso"	1826	0
"Burkina Faso"	1827	0
"Burkina Faso"	1828	0
"Burkina Faso"	1829	0
"Burkina Faso"	1830	0
"Burkina Faso"	1831	0
"Burkina Faso"	1832	0
"Burkina Faso"	1833	0
"Burkina Faso"	1834	0
"Burkina Faso"	1835	0
"Burkina Faso"	1836	0
"Burkina Faso"	1837	0
"Burkina Faso"	1838	0
"Burkina Faso"	1839	0
"Burkina Faso"	1840	0
"Burkina Faso"	1841	0
"Burkina Faso"	1842	0
"Burkina Faso"	1843	0
"Burkina Faso"	1844	0
"Burkina Faso"	1845	0
"Burkina Faso"	1846	0
"Burkina Faso"	1847	0
"Burkina Faso"	1848	0
"Burkina Faso"	1849	0
"Burkina Faso"	1850	0
"Burkina Faso"	1851	0
"Burkina Faso"	1852	0
"Burkina Faso"	1853	0
"Burkina Faso"	1854	0
"Burkina Faso"	1855	0
"Burkina Faso"	1856	0
"Burkina Faso"	1857	0
"Burkina Faso"	1858	0
"Burkina Faso"	1859	0
"Burkina Faso"	1860	0
"Burkina Faso"	1861	0
"Burkina Faso"	1862	0
"Burkina Faso"	1863	0
"Burkina Faso"	1864	0
"Burkina Faso"	1865	0
"Burkina Faso"	1866	0
"Burkina Faso"	1867	0
"Burkina Faso"	1868	0
"Burkina Faso"	1869	0
"Burkina Faso"	1870	0
"Burkina Faso"	1871	0
"Burkina Faso"	1872	0
"Burkina Faso"	1873	0
"Burkina Faso"	1874	0
"Burkina Faso"	1875	0
"Burkina Faso"	1876	0
"Burkina Faso"	1877	0
"Burkina Faso"	1878	0
"Burkina Faso"	1879	0
"Burkina Faso"	1880	0
"Burkina Faso"	1881	0
"Burkina Faso"	1882	0
"Burkina Faso"	1883	0
"Burkina Faso"	1884	0
"Burkina Faso"	1885	0
"Burkina Faso"	1886	0
"Burkina Faso"	1887	0
"Burkina Faso"	1888	0
"Burkina Faso"	1889	0
"Burkina Faso"	1890	0
"Burkina Faso"	1891	0
"Burkina Faso"	1892	0
"Burkina Faso"	1893	0
"Burkina Faso"	1894	0
"Burkina Faso"	1895	0
