year	Currency	iso	NAME	COLONISER	INDIRECT_NOMINAL	DIRECT_NOMINAL	NONTAX_ORDINARY_NOMINAL	RESOURCES_NOMINAL	EXTRAORDINARY_NOMINAL	INDIRECT_EXCL_TR_NOMINAL	TRADE_TAXES_NOMINAL	Forced_Labourdays_pc	WAGES	POPULATION	GDP_Deflator
1976	"Djibouti francs"	"DJI"	"Djibouti"	"France"	3.247E9	2.196E9	6.29E8	0.0	0.0	3.247E9	0.0		459.82608695652175	231662.84151358728	
1977	"Djibouti francs"	"DJI"	"Djibouti"	"France"	4.127E9	2.76E9	1.179E9	0.0	0.0	4.127E9	0.0		468.1786905715816	255631.4626260257	
1978	"Djibouti francs"	"DJI"	"Djibouti"	"France"	5.5825E9	2.8785E9	2.095E9	0.0	0.0	5.5825E9	0.0		483.84604678624953	283837.5498752335	
1979	"Djibouti francs"	"DJI"	"Djibouti"	"France"	7.172E9	3.726E9	1.668E9	0.0	0.0	7.169E9	3000000.0		504.7469013469231	313507.26669874764	82.38568565
1980	"Djibouti francs"	"DJI"	"Djibouti"	"France"	9.329E9	4.475E9	4.118E9	0.0	0.0	8.591E9	7.38E8		528.8	340806.13903781533	92.31977105
1981	"Djibouti francs"	"DJI"	"Djibouti"	"France"	9.8975E9	5.5715E9	2.911E9	0.0	1.963E9	9.0585E9	8.39E8		559.4432727834472	363075.8213658223	97.59803196
1982	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.10855E10	5.3645E9	3.411E9	0.0	2.96E9	9.7755E9	1.31E9		600.4325231390411	378640.65435120394	95.24522226
1983	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1082E10	5.29E9	2.627E9	0.0	2.241E9	9.774E9	1.308E9		650.1633069188929	388672.83079321287	96.10418453
1984	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.12275E10	5.6725E9	2.628E9	0.0	2.925E9	1.00095E10	1.218E9		707.0311799751134	396834.92481272575	97.91547454
1985	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.12045E10	6.4615E9	2.994E9	0.0	3.334E9	1.01235E10	1.081E9		769.431698159814	408460.6996796738	100.0
1986	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.0485E10	6.595E9	1.859E9	0.0	2.74E9	9.365E9	1.12E9		835.7604173251059	427090.974638624	118.1476335
1987	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.0192E10	6.852E9	1.881E9	0.0	5.135E9	9.092E9	1.1E9		904.4128933231	454055.5473388601	122.9788278
1988	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1095E10	6.841E9	1.939E9	0.0	4.256E9	9.95E9	1.145E9		1008.3470018342906	487517.196860551	
1989	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1244E10	6.536E9	3.244E9	0.0	3.411E9	6.826E9	4.418E9		1077.64134049629	523972.1618717184	
1990	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.13275E10	6.4775E9	2.933E9	0.0	4.917E9	8.1365E9	3.191E9		975.3133793809153	558407.3942396401	
1991	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.2236E10	6.807E9	1.855E9	0.0	0.0	1.1888E10	3.48E8		850.6011767715523	587178.0420435948	
1992	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1893E10	8.729E9	1.843E9	0.0	0.0	1.1627E10	2.66E8		825.0191864927086	609044.1095966101	
1993	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.2691E10	9.187E9	1.874E9	0.0	0.0	1.239E10	3.01E8		814.0619387098013	625168.8941849811	
1994	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.3895E10	9.844E9	1.853E9	0.0	0.0	1.361E10	2.85E8		815.205370034652	637168.2902616619	
1995	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.3348E10	9.434E9	2.609E9	0.0	0.0	1.3046E10	3.02E8		804.2838780941538	647709.4698962778	
1996	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.2482E10	1.0409E10	2.504E9	0.0	0.0	1.2366E10	1.16E8		825.6388336197762	658775.0405485232	
1997	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1794E10	9.56E9	2.934E9	0.0	1.2E8	1.1536E10	2.58E8		877.4457843617698	670749.3458705927	
1998	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.0743E10	9.073E9	3.338E9	0.0	0.0	1.0467E10	2.76E8		807.229514747124	683032.8520145393	
1999	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.171E10	8.469E9	2.183E9	0.0	0.0	1.1392E10	3.18E8		915.9246561591272	695482.6660581063	
2000	"Djibouti francs"	"DJI"	"Djibouti"	"France"	1.1903E10	8.78E9	3.286E9	0.0	0.0	1.1603E10	3.0E8		904.7154987918861	707721.1168227774	
1969	"Somali shillings"	"SOM"	"Somalia"	"Italy"	2.294E8	2.01E7	2.28E7	0.0	0.0	1.151E8	1.143E8		4.927324437361688	3449232.1114185215	4.022284463
1970	"Somali shillings"	"SOM"	"Somalia"	"Italy"	2.382E8	2.64E7	2.42E7	0.0	0.0	1.252E8	1.13E8		6.322229506580954	3525778.9210137953	4.049994759
1971	"Somali shillings"	"SOM"	"Somalia"	"Italy"	2.7E8	3.47E7	3.2E7	0.0	0.0	1.395E8	1.305E8		5.805624178812936	3587725.4804924466	4.124666865
1972	"Somali shillings"	"SOM"	"Somalia"	"Italy"	3.06E8	4.29E7	5.71E7	0.0	0.0	1.541E8	1.519E8		5.0	3621046.0720613543	4.619223147
