year	x_share_CMR	x_share_EGY	x_share_MAR	x_share_ZWE	x_share_ZAF	x_share_TUN
1900	0.004790625	0.49592352	0.023365753		0.17726007	0.30095994
1901	0.005533898	0.5410428	0.020941319		0.24203415	0.28228813
1902	0.005895727	0.5678659	0.016236218		0.33627328	0.3186834
1903	0.006287738	0.4929165	0.014906803		0.32004592	0.5152441
1904	0.006224755	0.50320894	0.030834151		0.2714433	0.53084785
1905	0.007077838	0.5289454	0.023476023		0.27055985	0.3783473
1906	0.007362798	0.5267188	0.020064192	0.053611245	0.2727888	0.51860434
1907	0.011311353	0.5220057	0.01741227	0.05902841	0.31066048	0.587604
1908	0.009744049	0.4656759	0.0340493	0.064653344	0.48208275	0.515521
1909	0.009965432	0.4965834	0.03200485	0.070263445	0.37293142	0.56446356
1910	0.014039327	0.43114918	0.032119665	0.06314364	0.6021831	0.6479396
1911	0.013830986	0.4806044	0.04744515	0.06191692	0.6357688	0.7309964
1912	0.015972078	0.568634	0.04385254	0.060202833	0.6492421	0.76519287
1913	0.02425285	0.47712892	0.02520363	0.062447447	0.58992857	0.8692732
1914	0.025408633	0.39938313	0.018720593	0.053232804	0.46620286	0.49034944
1915	0.032185234	0.4672966	0.024576422	0.019027028	0.23486269	0.49688023
1916	0.03072841	0.37133923	0.033379328	0.026899435	0.39624697	0.54582983
1917	0.03176611	0.28270617	0.035903137	0.066655695	0.58690536	0.35805812
1918	0.022603855	0.32658672	0.030732194	0.03645695	0.36120233	0.28944615
1919	0.04619291	0.4270278	0.026777998	0.033076778	0.41626573	0.21151112
1920	0.048894607	0.26124188	0.021760667	0.033271328	0.34168562	0.26498374
1921	0.011716538	0.3124974	0.045122817	0.042442504	0.46786767	0.7054123
1922	0.014092612	0.41108146	0.045055922	0.07907994	0.4455398	0.5720665
1923	0.014335214	0.4545827	0.037367992	0.079338655	0.48301432	0.6066417
1924	0.020125423	0.44107178	0.06338438	0.04193032	0.16644223	0.507469
1925	0.017738022	0.3812634	0.05076654	0.039793562	0.19010147	0.6312965
1926	0.021426164	0.3384233	0.049362443	0.048586793	0.18184933	0.6951933
1927	0.029964969	0.37818947	0.06722754	0.06575507	0.20677312	0.5854925
1928	0.03471362	0.38081	0.09385656	0.06918632	0.17231396	0.7155865
1929	0.037802763	0.38614464	0.090157	0.062075	0.18265137	0.8769384
1930	0.040342916	0.30256957	0.06590688	0.05935223	0.18275993	0.83460236
1931	0.03695519	0.33977157	0.0864191	0.052777607	0.16904753	0.6812844
1932	0.049942493	0.32052138	0.08010171	0.08383313	0.20646416	0.9143091
1933	0.053957243	0.3617027	0.09090158	0.13203235	0.1604607	0.7956755
1934	0.050238304	0.37538558	0.122358635	0.17202017	0.14356652	0.77550197
1935	0.05634319	0.3925138	0.11210634	0.17423423	0.14623298	0.89094514
1936	0.080392525	0.36608094	0.10890239	0.1820276	0.112051435	0.81276506
1937	0.06813108	0.40344155	0.08254339	0.23156868	0.11161591	0.5903735
1938	0.058964178	0.34405994	0.08307423	0.18940365	0.10091373	0.54202104
