date	boeinterestrate	monthliborfred
"1-Jan-1890"	6.0	
"1-Feb-1890"	5.0	
"1-Mar-1890"	4.0	
"1-Apr-1890"	3.0	
"1-May-1890"	3.0	
"1-Jun-1890"	4.0	
"1-Jul-1890"	5.0	
"1-Aug-1890"	4.0	
"1-Sep-1890"	5.0	
"1-Oct-1890"	5.0	
"1-Nov-1890"	6.0	
"1-Dec-1890"	5.0	
"1-Jan-1891"	3.0	
"1-Feb-1891"	3.0	
"1-Mar-1891"	3.0	
"1-Apr-1891"	3.5	
"1-May-1891"	5.0	
"1-Jun-1891"	3.0	
"1-Jul-1891"	2.5	
"1-Aug-1891"	2.5	
"1-Sep-1891"	3.0	
"1-Oct-1891"	4.0	
"1-Nov-1891"	4.0	
"1-Dec-1891"	3.5	
"1-Jan-1892"	3.0	
"1-Feb-1892"	3.0	
"1-Mar-1892"	3.0	
"1-Apr-1892"	2.0	
"1-May-1892"	2.0	
"1-Jun-1892"	2.0	
"1-Jul-1892"	2.0	
"1-Aug-1892"	2.0	
"1-Sep-1892"	2.0	
"1-Oct-1892"	3.0	
"1-Nov-1892"	3.0	
"1-Dec-1892"	3.0	
"1-Jan-1893"	2.5	
"1-Feb-1893"	2.5	
"1-Mar-1893"	2.5	
"1-Apr-1893"	2.5	
"1-May-1893"	4.0	
"1-Jun-1893"	2.5	
"1-Jul-1893"	2.5	
"1-Aug-1893"	5.0	
"1-Sep-1893"	3.5	
"1-Oct-1893"	3.0	
"1-Nov-1893"	3.0	
"1-Dec-1893"	3.0	
"1-Jan-1894"	3.0	
"1-Feb-1894"	2.0	
"1-Mar-1894"	2.0	
"1-Apr-1894"	2.0	
"1-May-1894"	2.0	
"1-Jun-1894"	2.0	
"1-Jul-1894"	2.0	
"1-Aug-1894"	2.0	
"1-Sep-1894"	2.0	
"1-Oct-1894"	2.0	
"1-Nov-1894"	2.0	
"1-Dec-1894"	2.0	
"1-Jan-1895"	2.0	
"1-Feb-1895"	2.0	
"1-Mar-1895"	2.0	
"1-Apr-1895"	2.0	
"1-May-1895"	2.0	
"1-Jun-1895"	2.0	
"1-Jul-1895"	2.0	
"1-Aug-1895"	2.0	
"1-Sep-1895"	2.0	
"1-Oct-1895"	2.0	
"1-Nov-1895"	2.0	
"1-Dec-1895"	2.0	
"1-Jan-1896"	2.0	
"1-Feb-1896"	2.0	
"1-Mar-1896"	2.0	
"1-Apr-1896"	2.0	
"1-May-1896"	2.0	
"1-Jun-1896"	2.0	
"1-Jul-1896"	2.0	
"1-Aug-1896"	2.0	
"1-Sep-1896"	3.0	
"1-Oct-1896"	4.0	
"1-Nov-1896"	4.0	
"1-Dec-1896"	4.0	
"1-Jan-1897"	3.5	
"1-Feb-1897"	3.0	
"1-Mar-1897"	3.0	
"1-Apr-1897"	2.5	
"1-May-1897"	2.0	
"1-Jun-1897"	2.0	
"1-Jul-1897"	2.0	
"1-Aug-1897"	2.0	
"1-Sep-1897"	2.5	
"1-Oct-1897"	3.0	
"1-Nov-1897"	3.0	
"1-Dec-1897"	3.0	
"1-Jan-1898"	3.0	
"1-Feb-1898"	3.0	
"1-Mar-1898"	3.0	
"1-Apr-1898"	4.0	
"1-May-1898"	3.5	
"1-Jun-1898"	2.5	
"1-Jul-1898"	2.5	
"1-Aug-1898"	2.5	
"1-Sep-1898"	3.0	
"1-Oct-1898"	4.0	
"1-Nov-1898"	4.0	
"1-Dec-1898"	4.0	
"1-Jan-1899"	3.5	
"1-Feb-1899"	3.0	
"1-Mar-1899"	3.0	
"1-Apr-1899"	3.0	
"1-May-1899"	3.0	
"1-Jun-1899"	3.0	
"1-Jul-1899"	3.5	
"1-Aug-1899"	3.5	
"1-Sep-1899"	3.5	
"1-Oct-1899"	5.0	
"1-Nov-1899"	6.0	
"12-Jan-1899"	6.0	
"2-Jan-1900"	4.0	
"2-Feb-1900"	4.0	
"1-Mar-1900"	4.0	
"1-Apr-1900"	4.0	
"1-May-1900"	3.5	
"1-Jun-1900"	3.0	
"1-Jul-1900"	4.0	
"1-Aug-1900"	4.0	
"1-Sep-1900"	4.0	
"1-Oct-1900"	4.0	
"1-Nov-1900"	4.0	
"1-Dec-1900"	4.0	
"1-Jan-1901"	5.0	
"1-Feb-1901"	4.0	
"1-Mar-1901"	4.0	
"1-Apr-1901"	4.0	
"1-May-1901"	4.0	
"1-Jun-1901"	3.0	
"1-Jul-1901"	3.0	
"1-Aug-1901"	3.0	
"1-Sep-1901"	3.0	
"1-Oct-1901"	4.0	
"1-Nov-1901"	4.0	
"1-Dec-1901"	4.0	
"1-Jan-1902"	3.5	
"1-Feb-1902"	3.0	
"1-Mar-1902"	3.0	
"1-Apr-1902"	3.0	
"1-May-1902"	3.0	
"1-Jun-1902"	3.0	
"1-Jul-1902"	3.0	
"1-Aug-1902"	3.0	
"1-Sep-1902"	3.0	
"1-Oct-1902"	4.0	
"1-Nov-1902"	4.0	
"1-Dec-1902"	4.0	
"1-Jan-1903"	4.0	
"1-Feb-1903"	4.0	
"1-Mar-1903"	4.0	
"1-Apr-1903"	4.0	
"1-May-1903"	3.5	
"1-Jun-1903"	3.0	
"1-Jul-1903"	3.0	
"1-Aug-1903"	3.0	
"1-Sep-1903"	4.0	
"1-Oct-1903"	4.0	
"1-Nov-1903"	4.0	
"1-Dec-1903"	4.0	
"1-Jan-1904"	4.0	
"1-Feb-1904"	4.0	
"1-Mar-1904"	4.0	
"1-Apr-1904"	3.0	
"1-May-1904"	3.0	
"1-Jun-1904"	3.0	
"1-Jul-1904"	3.0	
"1-Aug-1904"	3.0	
"1-Sep-1904"	3.0	
"1-Oct-1904"	3.0	
"1-Nov-1904"	3.0	
"1-Dec-1904"	3.0	
"1-Jan-1905"	3.0	
"1-Feb-1905"	3.0	
"1-Mar-1905"	2.5	
"1-Apr-1905"	2.5	
"1-May-1905"	2.5	
"1-Jun-1905"	2.5	
"1-Jul-1905"	2.5	
"1-Aug-1905"	2.5	
"1-Sep-1905"	4.0	
"1-Oct-1905"	4.0	
"1-Nov-1905"	4.0	
"1-Dec-1905"	4.0	
"1-Jan-1906"	4.0	
"1-Feb-1906"	4.0	
"1-Mar-1906"	4.0	
"1-Apr-1906"	3.5	
"1-May-1906"	4.0	
"1-Jun-1906"	3.5	
"1-Jul-1906"	3.5	
"1-Aug-1906"	3.5	
"1-Sep-1906"	4.0	
"1-Oct-1906"	6.0	
"1-Nov-1906"	6.0	
"1-Dec-1906"	6.0	
"1-Jan-1907"	5.0	
"1-Feb-1907"	5.0	
"1-Mar-1907"	5.0	
"1-Apr-1907"	4.0	
