year	iso	nom_gdp_usd_wdi
1960	"DZA"	2.723648552E9
1960	"AGO"	
1960	"BEN"	2.261955794E8
1960	"BWA"	3.041230899E7
1960	"BDI"	1.9599999E8
1960	"BFA"	3.304428172E8
1960	"CMR"	6.18740988E8
1960	"CAF"	1.121555989E8
1960	"TCD"	3.135827276E8
1960	"COD"	3.359404118E9
1960	"CIV"	5.462035616E8
1960	"COG"	1.317318626E8
1960	"DJI"	
1960	"EGY"	
1960	"ETH"	
1960	"SWZ"	3.507615848E7
1960	"GAB"	1.414689776E8
1960	"GMB"	
1960	"GHA"	1.217230038E9
1960	"GNB"	
1960	"GIN"	
1960	"KEN"	7.912654588E8
1960	"LBY"	
1960	"LBR"	
1960	"LSO"	3.457930841E7
1960	"MWI"	1.629567409E8
1960	"MDG"	6.730817241E8
1960	"MLI"	
1960	"MRT"	9.260924369E7
1960	"MAR"	2.037150716E9
1960	"MOZ"	
1960	"NAM"	
1960	"NER"	4.495268726E8
1960	"NGA"	4.196092258E9
1960	"RWA"	1.19000024E8
1960	"SEN"	1.003692375E9
1960	"SLE"	3.220094716E8
1960	"SOM"	1.804599368E8
1960	"ZAF"	7.575396973E9
1960	"SDN"	1.307333333E9
1960	"TZA"	
1960	"TGO"	1.211280731E8
1960	"TUN"	
1960	"UGA"	4.230083857E8
1960	"ZWE"	1.0529904E9
1960	"ZMB"	7.13E8
1961	"DZA"	2.434776646E9
1961	"AGO"	
1961	"BEN"	2.356682224E8
1961	"BWA"	3.290233664E7
1961	"BDI"	2.02999992E8
1961	"BFA"	3.502472371E8
1961	"CMR"	6.575973828E8
1961	"CAF"	1.231345845E8
1961	"TCD"	3.339753366E8
1961	"COD"	3.086746857E9
1961	"CIV"	6.182456392E8
1961	"COG"	1.516757392E8
1961	"DJI"	
1961	"EGY"	
1961	"ETH"	
1961	"SWZ"	4.30251995E7
1961	"GAB"	1.676379074E8
1961	"GMB"	
1961	"GHA"	1.302674264E9
1961	"GNB"	
1961	"GIN"	
1961	"KEN"	7.929594721E8
1961	"LBY"	
1961	"LBR"	
1961	"LSO"	3.569928601E7
1961	"MWI"	1.745765085E8
