iso	year	name	coloniser
"DJI"	1890	"Djibouti"	"France"
"DJI"	1891	"Djibouti"	"France"
"DJI"	1892	"Djibouti"	"France"
"DJI"	1893	"Djibouti"	"France"
"DJI"	1894	"Djibouti"	"France"
"DJI"	1895	"Djibouti"	"France"
"DJI"	1896	"Djibouti"	"France"
"DJI"	1897	"Djibouti"	"France"
"DJI"	1898	"Djibouti"	"France"
"DJI"	1899	"Djibouti"	"France"
"DJI"	1900	"Djibouti"	"France"
"DJI"	1901	"Djibouti"	"France"
"DJI"	1902	"Djibouti"	"France"
"DJI"	1903	"Djibouti"	"France"
"DJI"	1904	"Djibouti"	"France"
"DJI"	1905	"Djibouti"	"France"
"DJI"	1906	"Djibouti"	"France"
"DJI"	1907	"Djibouti"	"France"
"DJI"	1908	"Djibouti"	"France"
"DJI"	1909	"Djibouti"	"France"
"DJI"	1910	"Djibouti"	"France"
"DJI"	1911	"Djibouti"	"France"
"DJI"	1912	"Djibouti"	"France"
"DJI"	1913	"Djibouti"	"France"
"DJI"	1914	"Djibouti"	"France"
"DJI"	1915	"Djibouti"	"France"
"DJI"	1916	"Djibouti"	"France"
"DJI"	1917	"Djibouti"	"France"
"DJI"	1918	"Djibouti"	"France"
"DJI"	1919	"Djibouti"	"France"
"DJI"	1920	"Djibouti"	"France"
"DJI"	1921	"Djibouti"	"France"
"DJI"	1922	"Djibouti"	"France"
"DJI"	1923	"Djibouti"	"France"
"DJI"	1924	"Djibouti"	"France"
"DJI"	1925	"Djibouti"	"France"
"DJI"	1926	"Djibouti"	"France"
"DJI"	1927	"Djibouti"	"France"
"DJI"	1928	"Djibouti"	"France"
"DJI"	1929	"Djibouti"	"France"
"DJI"	1930	"Djibouti"	"France"
"DJI"	1931	"Djibouti"	"France"
"DJI"	1932	"Djibouti"	"France"
"DJI"	1933	"Djibouti"	"France"
"DJI"	1934	"Djibouti"	"France"
"DJI"	1935	"Djibouti"	"France"
"DJI"	1936	"Djibouti"	"France"
"DJI"	1937	"Djibouti"	"France"
"DJI"	1938	"Djibouti"	"France"
"DJI"	1939	"Djibouti"	"France"
"DJI"	1940	"Djibouti"	"France"
"DJI"	1941	"Djibouti"	"France"
"DJI"	1942	"Djibouti"	"France"
"DJI"	1943	"Djibouti"	"France"
"DJI"	1944	"Djibouti"	"France"
"DJI"	1945	"Djibouti"	"France"
"DJI"	1946	"Djibouti"	"France"
"DJI"	1947	"Djibouti"	"France"
"DJI"	1948	"Djibouti"	"France"
"DJI"	1949	"Djibouti"	"France"
"DJI"	1950	"Djibouti"	"France"
"DJI"	1951	"Djibouti"	"France"
"DJI"	1952	"Djibouti"	"France"
"DJI"	1953	"Djibouti"	"France"
"DJI"	1954	"Djibouti"	"France"
"DJI"	1955	"Djibouti"	"France"
"DJI"	1956	"Djibouti"	"France"
"DJI"	1957	"Djibouti"	"France"
"DJI"	1958	"Djibouti"	"France"
"DJI"	1959	"Djibouti"	"France"
"DJI"	1960	"Djibouti"	"France"
"DJI"	1961	"Djibouti"	"France"
"DJI"	1962	"Djibouti"	"France"
"DJI"	1963	"Djibouti"	"France"
"DJI"	1964	"Djibouti"	"France"
"DJI"	1965	"Djibouti"	"France"
"DJI"	1966	"Djibouti"	"France"
"DJI"	1967	"Djibouti"	"France"
"DJI"	1968	"Djibouti"	"France"
"DJI"	1969	"Djibouti"	"France"
"DJI"	1970	"Djibouti"	"France"
"DJI"	1971	"Djibouti"	"France"
"DJI"	1972	"Djibouti"	"France"
"DJI"	1973	"Djibouti"	"France"
"DJI"	1974	"Djibouti"	"France"
"DJI"	1975	"Djibouti"	"France"
"DJI"	1976	"Djibouti"	"France"
"DJI"	1977	"Djibouti"	"France"
"DJI"	1978	"Djibouti"	"France"
"DJI"	1979	"Djibouti"	"France"
"DJI"	1980	"Djibouti"	"France"
"DJI"	1981	"Djibouti"	"France"
"DJI"	1982	"Djibouti"	"France"
"DJI"	1983	"Djibouti"	"France"
"DJI"	1984	"Djibouti"	"France"
"DJI"	1985	"Djibouti"	"France"
"DJI"	1986	"Djibouti"	"France"
"DJI"	1987	"Djibouti"	"France"
"DJI"	1988	"Djibouti"	"France"
"DJI"	1989	"Djibouti"	"France"
"DJI"	1990	"Djibouti"	"France"
"DJI"	1991	"Djibouti"	"France"
"DJI"	1992	"Djibouti"	"France"
"DJI"	1993	"Djibouti"	"France"
"DJI"	1994	"Djibouti"	"France"
"DJI"	1995	"Djibouti"	"France"
"DJI"	1996	"Djibouti"	"France"
"DJI"	1997	"Djibouti"	"France"
"DJI"	1998	"Djibouti"	"France"
"DJI"	1999	"Djibouti"	"France"
"DJI"	2000	"Djibouti"	"France"
"DJI"	2001	"Djibouti"	"France"
"DJI"	2002	"Djibouti"	"France"
"DJI"	2003	"Djibouti"	"France"
"DJI"	2004	"Djibouti"	"France"
"DJI"	2005	"Djibouti"	"France"
"DJI"	2006	"Djibouti"	"France"
"DJI"	2007	"Djibouti"	"France"
"DJI"	2008	"Djibouti"	"France"
"DJI"	2009	"Djibouti"	"France"
"DJI"	2010	"Djibouti"	"France"
"DJI"	2011	"Djibouti"	"France"
"DJI"	2012	"Djibouti"	"France"
"DJI"	2013	"Djibouti"	"France"
"DJI"	2014	"Djibouti"	"France"
"DJI"	2015	"Djibouti"	"France"
"SOM"	1890	"Somalia"	"Italy"
"SOM"	1891	"Somalia"	"Italy"
"SOM"	1892	"Somalia"	"Italy"
"SOM"	1893	"Somalia"	"Italy"
"SOM"	1894	"Somalia"	"Italy"
"SOM"	1895	"Somalia"	"Italy"
"SOM"	1896	"Somalia"	"Italy"
"SOM"	1897	"Somalia"	"Italy"
"SOM"	1898	"Somalia"	"Italy"
"SOM"	1899	"Somalia"	"Italy"
"SOM"	1900	"Somalia"	"Italy"
"SOM"	1901	"Somalia"	"Italy"
"SOM"	1902	"Somalia"	"Italy"
"SOM"	1903	"Somalia"	"Italy"
"SOM"	1904	"Somalia"	"Italy"
"SOM"	1905	"Somalia"	"Italy"
"SOM"	1906	"Somalia"	"Italy"
"SOM"	1907	"Somalia"	"Italy"
"SOM"	1908	"Somalia"	"Italy"
"SOM"	1909	"Somalia"	"Italy"
"SOM"	1910	"Somalia"	"Italy"
"SOM"	1911	"Somalia"	"Italy"
"SOM"	1912	"Somalia"	"Italy"
"SOM"	1913	"Somalia"	"Italy"
"SOM"	1914	"Somalia"	"Italy"
"SOM"	1915	"Somalia"	"Italy"
"SOM"	1916	"Somalia"	"Italy"
"SOM"	1917	"Somalia"	"Italy"
"SOM"	1918	"Somalia"	"Italy"
"SOM"	1919	"Somalia"	"Italy"
"SOM"	1920	"Somalia"	"Italy"
"SOM"	1921	"Somalia"	"Italy"
"SOM"	1922	"Somalia"	"Italy"
"SOM"	1923	"Somalia"	"Italy"
"SOM"	1924	"Somalia"	"Italy"
"SOM"	1925	"Somalia"	"Italy"
"SOM"	1926	"Somalia"	"Italy"
"SOM"	1927	"Somalia"	"Italy"
"SOM"	1928	"Somalia"	"Italy"
"SOM"	1929	"Somalia"	"Italy"
"SOM"	1930	"Somalia"	"Italy"
"SOM"	1931	"Somalia"	"Italy"
"SOM"	1932	"Somalia"	"Italy"
"SOM"	1933	"Somalia"	"Italy"
"SOM"	1934	"Somalia"	"Italy"
"SOM"	1935	"Somalia"	"Italy"
"SOM"	1936	"Somalia"	"Italy"
"SOM"	1937	"Somalia"	"Italy"
"SOM"	1938	"Somalia"	"Italy"
"SOM"	1939	"Somalia"	"Italy"
"SOM"	1940	"Somalia"	"Italy"
"SOM"	1941	"Somalia"	"Italy"
"SOM"	1942	"Somalia"	"Italy"
"SOM"	1943	"Somalia"	"Italy"
"SOM"	1944	"Somalia"	"Italy"
"SOM"	1945	"Somalia"	"Italy"
"SOM"	1946	"Somalia"	"Italy"
"SOM"	1947	"Somalia"	"Italy"
"SOM"	1948	"Somalia"	"Italy"
"SOM"	1949	"Somalia"	"Italy"
"SOM"	1950	"Somalia"	"Italy"
"SOM"	1951	"Somalia"	"Italy"
"SOM"	1952	"Somalia"	"Italy"
"SOM"	1953	"Somalia"	"Italy"
"SOM"	1954	"Somalia"	"Italy"
"SOM"	1955	"Somalia"	"Italy"
"SOM"	1956	"Somalia"	"Italy"
"SOM"	1957	"Somalia"	"Italy"
"SOM"	1958	"Somalia"	"Italy"
"SOM"	1959	"Somalia"	"Italy"
"SOM"	1960	"Somalia"	"Italy"
"SOM"	1961	"Somalia"	"Italy"
"SOM"	1962	"Somalia"	"Italy"
"SOM"	1963	"Somalia"	"Italy"
"SOM"	1964	"Somalia"	"Italy"
"SOM"	1965	"Somalia"	"Italy"
"SOM"	1966	"Somalia"	"Italy"
"SOM"	1967	"Somalia"	"Italy"
"SOM"	1968	"Somalia"	"Italy"
"SOM"	1969	"Somalia"	"Italy"
