year	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63	p64	p65	cpi2000
1957	34.561214	45.3	28.0	26.7	54.0	52.8	100.8	82.0	94.2	27.0	50.1	34.9	26.2	48.1	22.8	11.5	77.8	74.3	24.7	44.2	74.2	52.4	4.7	22.3	96.8	58.7	109.8	18.6	8.4	32.0	16.9	45.7	34.7	20.0	55.4	90.0	5.0	17.8	26.2	89.9	53.8	34.2	54.0	19.8	44.2	40.6	113.8	50.2	58.6	21.0	35.9	70.4	80.9	36.8	30.2	19.0	53.2	30.111525	36.6	82.0	49.2	57.2	72.093025	41.7	12.9	16.318235
1958	31.610477	45.6	28.6	30.7	38.6	49.1	102.0	103.2	77.3	32.8	39.9	41.4	65.6	38.1	21.7	14.7	49.9	71.4	24.0	43.8	75.5	54.8	5.1	22.3	95.0	44.0	86.6	17.6	8.8	32.0	16.9	40.6	34.1	20.2	56.6	91.1	5.1	17.4	28.5	70.6	46.8	34.6	52.6	18.5	45.8	41.0	108.1	45.7	46.3	25.0	36.9	67.8	79.5	31.6	31.5	19.4	52.2	28.996283	43.1	109.5	49.2	51.2	75.0	41.6	12.9	16.78281
1959	32.17768	43.9	26.6	30.7	70.2	49.9	77.0	101.2	66.7	38.0	42.7	43.5	48.5	43.1	23.7	17.6	42.5	73.6	24.3	43.8	70.0	51.5	5.5	22.3	94.1	47.6	88.1	36.5	8.0	29.7	16.9	39.1	31.1	20.4	48.0	128.3	8.3	17.9	35.7	51.6	46.2	32.5	54.3	18.6	47.7	37.3	102.4	47.6	58.2	32.0	32.7	47.0	78.7	31.1	30.0	14.6	47.6	20.07435	39.6	103.8	43.1	48.1	61.627907	40.4	12.9	16.898954
1960	32.598305	47.4	25.5	29.9	53.3	48.0	58.7	69.1	66.8	34.4	43.0	44.0	44.8	43.2	21.4	15.0	39.7	150.1	21.1	39.0	62.7	47.5	6.0	22.3	92.8	61.5	84.3	31.1	7.6	29.7	16.9	44.8	33.2	20.6	51.1	94.4	9.4	17.9	36.0	66.5	45.2	33.7	55.2	22.5	48.1	36.7	96.7	46.8	53.5	27.7	36.2	74.8	77.6	33.0	30.9	15.3	50.8	31.97026	37.9	74.5	42.8	44.8	59.88372	41.5	13.3	17.189316
1961	32.598305	43.9	33.7	32.4	42.5	47.5	63.0	65.0	63.6	34.2	43.6	43.3	57.0	45.8	23.2	17.6	38.3	102.0	22.6	36.6	75.3	50.3	6.4	23.4	90.9	64.9	86.3	27.5	8.0	29.7	16.9	40.8	27.6	20.0	54.2	85.3	12.2	18.1	30.7	68.0	54.8	31.6	50.4	20.6	57.5	36.2	96.7	49.3	54.5	24.0	36.8	68.3	76.0	34.4	29.9	14.8	42.3	29.182156	37.3	70.5	48.4	44.8	52.73256	19.0	12.9	17.363531
1962	31.610477	41.7	27.5	27.1	52.2	47.5	52.6	75.7	63.1	34.9	43.3	48.5	60.3	36.5	20.8	16.4	38.2	69.2	24.3	33.8	56.7	53.2	6.8	24.1	90.2	48.1	85.9	23.9	8.0	26.3	13.5	43.2	28.4	20.2	54.6	88.7	13.6	21.2	46.3	55.2	49.5	36.5	52.7	22.1	51.9	43.7	91.0	50.8	54.2	22.6	34.7	63.5	51.6	37.7	33.8	16.7	43.5	27.137547	38.8	80.7	51.7	43.6	56.337208	16.8	12.9	17.537748
1963	32.31789	38.8	26.5	31.0	54.9	49.1	64.1	78.5	64.8	35.1	44.6	47.1	74.2	39.1	21.6	11.1	38.3	63.4	26.1	44.2	57.8	55.6	6.8	23.8	90.7	57.3	90.0	25.3	8.0	26.3	14.3	42.1	28.2	20.0	54.6	71.6	9.9	25.0	57.6	54.4	54.3	53.9	49.9	22.5	61.1	43.3	91.0	52.5	66.3	31.8	35.0	53.0	61.2	38.7	25.7	16.4	43.2	22.67658	35.4	85.6	55.2	41.8	49.302326	15.7	12.9	17.770035
1964	34.421005	30.6	29.2	38.7	59.0	48.4	56.2	89.5	78.5	68.6	44.2	45.4	63.6	53.6	25.5	13.5	35.6	95.8	30.0	82.8	60.6	56.5	6.4	23.8	91.0	56.2	98.3	31.8	8.0	28.6	18.4	44.9	27.3	20.0	53.8	76.3	11.9	25.3	41.8	81.3	54.3	28.8	48.1	21.6	79.8	42.7	91.0	51.9	57.6	42.0	40.1	55.7	80.5	37.7	27.7	16.7	41.9	23.791822	33.8	90.0	54.8	35.1	51.627907	18.1	12.9	18.002323
1965	34.421005	29.0	32.4	42.4	55.1	44.3	51.4	89.7	77.8	81.9	42.7	48.3	88.4	46.3	24.8	19.2	35.6	87.8	29.7	65.2	52.8	56.5	6.8	23.4	90.3	47.8	96.7	33.1	8.0	32.0	21.3	37.7	28.8	20.1	56.2	76.9	11.6	25.3	33.2	65.7	54.3	28.5	47.2	23.5	82.6	43.1	91.0	45.7	55.7	37.2	50.4	101.7	67.9	29.7	30.5	18.4	44.1	43.494423	40.0	93.6	53.6	38.7	55.05814	18.8	12.9	18.292683
1966	34.421005	31.6	32.9	47.6	51.1	31.6	61.5	77.9	68.5	65.3	43.5	50.6	71.7	44.7	24.3	15.1	33.1	115.2	30.6	48.5	50.2	63.4	6.8	25.3	89.6	48.7	86.5	28.4	8.0	29.7	23.3	41.5	30.4	20.7	69.6	66.2	13.8	25.3	30.6	62.9	59.7	25.1	48.2	22.5	71.6	42.1	91.0	56.2	54.8	33.9	44.8	61.7	58.3	37.3	27.7	18.7	46.7	26.394053	43.7	80.3	58.8	39.1	56.279068	19.6	12.9	18.815332
