year	month	p1	p6	p7	p9	p10	p11	p12	p15	p17	p19	p22	p23	p24	p29	p33	p36	p37	p38	p42	p43	p44	p45	p47	p50	p54	p55	p65	p27	p2	p48	p5	p49	p16
2007	"M1"	2799.059	55.763	124.465	124.465	5689.341	59.052	1258.728	996.957	36.63	159.319	165.16	7.66	36821.59	54.554	71.264	94.239	6.252	12.839	19.915	249.7	796.353	11331.455	72.0	3784.864	221.79	119.25	631.166	550.785	640.163	172.567	14.064	715.511	96.671
2007	"M2"	2839.05	56.006	122.345	122.345	5718.15	57.892	1252.39	1000.0	36.63	155.381	177.385	7.17	41078.25	57.759	73.858	103.362	6.446	13.91	20.726	212.5	795.357	12890.2	76.25	3321.375	244.104	118.375	664.745	553.753	658.84	175.267	14.638	706.965	99.128
2007	"M3"	2757.08	56.925	116.615	116.615	6465.295	58.411	1268.875	1000.0	36.63	154.242	169.583	7.36	46125.227	62.144	76.307	101.723	6.25	13.184	20.827	203.27	791.455	13787.25	89.444	3256.182	239.532	118.4	654.895	566.388	646.66	173.313	15.197	724.755	99.179
2007	"M4"	2817.053	58.052	114.59	114.59	7753.342	57.178	1289.381	1000.0	36.63	157.18	152.631	7.72	49956.58	67.505	78.083	105.245	6.244	13.738	20.906	192.05	808.81	13952.842	110.429	3566.855	221.746	117.625	679.368	645.39	647.198	178.556	15.981	742.552	99.249
2007	"M5"	2804.605	58.457	112.52	112.52	7677.952	55.574	1266.924	1013.043	36.63	157.322	160.139	8.21	51783.332	67.477	79.652	107.442	6.35	13.146	21.011	190.04	806.213	14162.143	119.111	3847.524	227.672	116.625	666.86	740.615	691.809	178.006	18.606	788.253	98.464
2007	"M6"	2681.31	63.151	118.671	118.671	7514.238	60.439	1254.155	1095.238	36.63	159.245	164.537	8.48	41551.668	71.317	80.758	100.303	6.709	13.144	21.324	202.05	807.062	14078.833	136.222	3628.655	249.159	119.0	655.49	748.506	778.742	206.517	20.116	787.582	94.619
2007	"M7"	2738.091	72.794	116.801	116.801	7980.932	67.805	1212.95	1159.091	36.63	165.723	147.216	8.22	33400.227	77.205	81.161	94.167	7.022	12.909	21.118	211.91	826.409	14732.727	131.5	3546.295	252.566	117.5	665.295	764.47	735.183	222.002	21.215	761.635	86.582
2007	"M8"	2512.602	74.834	123.627	123.627	7500.205	66.618	1148.05	1200.0	36.63	164.307	151.031	8.61	27649.637	70.797	81.272	95.863	6.757	12.363	21.802	210.39	816.735	15046.977	109.6	3244.17	251.83	118.4	665.411	729.564	696.012	240.687	19.99	732.829	86.804
2007	"M9"	2394.963	73.554	128.035	128.035	7671.35	68.208	1109.223	1200.0	36.63	163.762	160.125	8.55	29548.4	77.129	81.563	98.112	7.101	12.834	21.005	231.25	819.621	14989.05	85.0	2887.6	288.777	118.25	712.653	745.18	666.436	297.952	20.215	765.241	86.701
2007	"M10"	2444.533	79.509	134.57	134.57	8020.587	68.933	1054.0	1282.609	36.63	167.722	164.114	9.16	31156.0	82.832	79.754	105.766	6.957	13.67	20.279	224.3	812.951	16068.348	77.5	2979.989	300.428	115.875	754.604	824.069	659.981	303.63	18.764	807.451	85.207
