period	MOUNTAINS	NONCONT	safrica	laam	asiae	ETHPOL	ETHDOM	ETHFRAC	name	PRIMEXP	PRIOcw	PRIO25	DEMOCRACY	PRIO1000	SDcw	LGDPC	LPOP	RELPOL	RELFRAC	LARMINOR	FLcw	ETHLRGPRIMEXP
1.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.19	0.0	0.0		0.0	1.0	7.4518223	16.195057	0.031744055	0.015872017	0.103	1.0	0.1577
2.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.19	0.0	0.0	0.0	0.0	0.0	7.3677087	16.29398	0.031744055	0.015872017	0.103	0.0	0.1577
3.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.193	0.0	0.0	0.0	0.0	0.0	7.509883	16.436258	0.031744055	0.015872017	0.103	0.0	0.16019
4.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.269	0.0	0.0	0.0	0.0	0.0	7.759187	16.589224	0.031744055	0.015872017	0.103	0.0	0.22326998
5.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.368	0.0	0.0	0.0	0.0	0.0	7.922261	16.742374	0.031744055	0.015872017	0.103	0.0	0.30544
6.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.17	0.0	0.0	0.0	0.0	0.0	8.002359	16.901037	0.031744055	0.015872017	0.103	0.0	0.1411
7.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.179	1.0	1.0	0.0	1.0	1.0	7.9291263	17.034786	0.031744055	0.015872017	0.103	1.0	0.14857
8.0	15.7	0.0	0.0	0.0	0.0	0.51394737	1.0	0.29855803	"Algeria"	0.218	1.0	1.0	0.0	1.0	1.0	7.845416	17.184874	0.031744055	0.015872017	0.103	1.0	0.18093999
1.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.202	0.0	0.0		0.0	0.0	6.8362594	15.387454	0.90624154	0.45312077	0.0	0.0	0.06767
2.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.202	0.0	0.0		0.0	0.0	6.9679093	15.460316	0.90624154	0.45312077	0.0	0.0	0.06767
3.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.202	0.0	0.0		0.0	0.0	7.0604763	15.536132	0.90624154	0.45312077	0.0	0.0	0.06767
4.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.36	1.0	1.0	0.0	1.0	1.0	6.5944133	15.6275625	0.90624154	0.45312077	0.0	1.0	0.12060001
5.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.482	1.0	1.0	0.0	1.0	1.0	6.514713	15.764132	0.90624154	0.45312077	0.0	1.0	0.16147
6.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.479	1.0	1.0	0.0	1.0	1.0	6.5666723	15.8955765	0.90624154	0.45312077	0.0	1.0	0.160465
7.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.476	1.0	1.0	0.0	1.0	1.0	6.5191474	16.03797	0.90624154	0.45312077	0.0	1.0	0.15946001
8.0	9.7	1.0	1.0	0.0	0.0	0.57207453	0.0	0.804776	"Angola"	0.411	1.0	1.0		1.0	1.0	6.152733	16.210857	0.90624154	0.45312077	0.0	1.0	0.137685
1.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.044	0.0	0.0	1.0	0.0	0.0	7.0030656	14.53335	0.820304	0.5524	0.0	0.0	0.011
2.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.044	0.0	0.0	0.0	0.0	0.0	7.0825486	14.662237	0.820304	0.5524	0.0	0.0	0.011
3.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.088	0.0	0.0	0.0	0.0	0.0	7.0192966	14.792708	0.820304	0.5524	0.0	0.0	0.022
4.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.044	0.0	0.0	0.0	0.0	0.0	6.9584484	14.923743	0.820304	0.5524	0.0	0.0	0.011
5.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.032	0.0	0.0	0.0	0.0	0.0	7.0157123	15.057935	0.820304	0.5524	0.0	0.0	0.008
6.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.1	0.0	0.0	0.0	0.0	0.0	7.010312	15.212498	0.820304	0.5524	0.0	0.0	0.025
7.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"	0.033	0.0	0.0		0.0	0.0	6.8243737	15.370914	0.820304	0.5524	0.0	0.0	0.00825
8.0	0.0	0.0	1.0	0.0	0.0	0.43640012	0.0	0.868322	"Benin"		0.0	0.0	1.0	0.0	0.0	6.9007306	15.515703	0.820304	0.5524	0.0	0.0	
1.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"		0.0	0.0		0.0	0.0	6.2822666	13.081541	1.0	0.5	0.11	0.0	
2.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"		0.0	0.0		0.0	0.0	6.352629	13.216218	1.0	0.5	0.11	0.0	
3.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"	0.182	0.0	0.0	1.0	0.0	0.0	6.7129564	13.364525	1.0	0.5	0.11	0.0	0.128492
4.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"	0.29	0.0	0.0	1.0	0.0	0.0	7.1966867	13.539757	1.0	0.5	0.11	0.0	0.20473999
5.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"	0.197	0.0	0.0	1.0	0.0	0.0	7.570443	13.716795	1.0	0.5	0.11	0.0	0.13908198
6.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"	0.142	0.0	0.0	1.0	0.0	0.0	7.7566233	13.893397	1.0	0.5	0.11	0.0	0.100252
7.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"	0.087	0.0	0.0	1.0	0.0	0.0	7.7341213	14.05924	1.0	0.5	0.11	0.0	0.061421994
8.0	0.0	0.0	1.0	0.0	0.0	0.65015316	1.0	0.48454803	"Botswana"		0.0	0.0	1.0	0.0	0.0	7.807103	14.193947	1.0	0.5	0.11	0.0	
1.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.078	0.0	0.0		0.0	0.0	6.461468	14.89426	0.94751996	0.4878	0.14	0.0	0.064974
2.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.078	0.0	1.0		0.0	1.0	5.966147	14.982716	0.94751996	0.4878	0.14	0.0	0.064974
3.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.098	0.0	0.0	0.0	0.0	1.0	5.8318825	15.072266	0.94751996	0.4878	0.14	1.0	0.081634
4.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.073	0.0	0.0	0.0	0.0	0.0	6.1025586	15.118423	0.94751996	0.4878	0.14	0.0	0.060808998
5.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.069	0.0	0.0	0.0	0.0	0.0	6.173786	15.233788	0.94751996	0.4878	0.14	0.0	0.057476997
6.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.095	0.0	0.0	0.0	0.0	1.0	6.2672005	15.371758	0.94751996	0.4878	0.14	1.0	0.079135
7.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.064	0.0	1.0	0.0	0.0	1.0	6.3099184	15.512226	0.94751996	0.4878	0.14	1.0	0.053312004
8.0	74.5	0.0	1.0	0.0	0.0	0.5123105	1.0	0.285911	"Burundi"	0.064	1.0	1.0		1.0	1.0	6.1136823	15.632937	0.94751996	0.4878	0.14	1.0	0.053312004
1.0	17.7	0.0	1.0	0.0	0.0	0.5755745	0.0	0.816575	"Cameroon"	0.139	0.0	0.0	0.0	0.0	0.0	6.4630294	15.482462	0.893256	0.6474	0.0	0.0	0.03753
