year	head_tax	currency	iso	head_tax_i	tax_rate_British	tax_rate_British_i	tax_rate_French	tax_rate_French_i	c_head_tax_datapoints
1900	4.0	"Franc"	"BFA"	4.0			3.125	3.125	21.0
1901	4.0	"Franc"	"BFA"	4.0			3.125	8.75	21.0
1902	4.0	"Franc"	"BFA"	4.0			3.125	8.75	21.0
1903	4.5	"Franc"	"BFA"	4.5			3.4375	9.958333	21.0
1904	4.5	"Franc"	"BFA"	4.5			3.4375	9.958333	21.0
1905	4.5	"Franc"	"BFA"	4.5			3.625	8.46875	21.0
1906	4.5	"Franc"	"BFA"	4.5			3.4375	9.24375	21.0
1907	4.5	"Franc"	"BFA"	4.5			3.9583333	8.445	21.0
1908	4.5	"Franc"	"BFA"	4.5			4.09375	7.829167	21.0
1909	4.5	"Franc"	"BFA"	4.5			4.21875	7.9020834	21.0
1910		"Franc"	"BFA"	4.666666666666686			5.0	6.6666665	21.0
1911		"Franc"	"BFA"	4.833333333333371			5.0	6.491071	21.0
1912	5.0	"Franc"	"BFA"	5.0			4.525	6.553571	21.0
1913	5.0	"Franc"	"BFA"	5.0			4.125	6.1328125	21.0
1914	5.0	"Franc"	"BFA"	5.0			4.2083335	6.875	21.0
1915	10.0	"Franc"	"BFA"	10.0			7.625	7.71875	21.0
1916	10.0	"Franc"	"BFA"	10.0			7.875	7.9166665	21.0
1917	10.0	"Franc"	"BFA"	10.0			8.125	8.5	21.0
1918	10.0	"Franc"	"BFA"	10.0			8.5	8.5	21.0
1919		"Franc"	"BFA"	10.909090909090992			6.0	7.5252523	21.0
1920		"Franc"	"BFA"	11.818181818181984			7.0	8.217172	21.0
1921		"Franc"	"BFA"	12.727272727272748			11.0	10.181818	21.0
1922		"Franc"	"BFA"	13.63636363636374			11.0	10.450758	21.0
1923		"Franc"	"BFA"	14.545454545454504			13.0	11.719697	21.0
1924		"Franc"	"BFA"	15.454545454545496			10.833333	11.988636	21.0
1925		"Franc"	"BFA"	16.363636363636488			10.833333	12.215909	21.0
1926		"Franc"	"BFA"	17.272727272727252			16.5	16.654545	21.0
1927		"Franc"	"BFA"	18.181818181818244			17.75	17.836363	21.0
1928		"Franc"	"BFA"	19.090909090909236			19.282259	19.243988	21.0
1929	20.0	"Franc"	"BFA"	20.0			19.282259	19.282259	21.0
1930	20.0	"Franc"	"BFA"	20.0			15.709678	19.501009	21.0
1931	20.0	"Franc"	"BFA"	20.0			17.129032	20.784275	21.0
1932	20.0	"Franc"	"BFA"	20.0			16.629032	20.628025	21.0
1933		"Franc"	"BFA"				15.25	21.333334	21.0
1934		"Franc"	"BFA"				15.25	21.625	21.0
1935		"Franc"	"BFA"				15.25	21.916666	21.0
1936		"Franc"	"BFA"				17.5	26.8125	21.0
1937		"Franc"	"BFA"				28.5	28.5	21.0
1938		"Franc"	"BFA"				21.0	21.0	21.0
1939		"Franc"	"BFA"						21.0
