iso	iso_b	location	year	intensity_level	type_of_conflict	numberoffatalitiesbyfinalyearofc	cumulative_intensity	conflict_id	side_a	side_a_id	side_a_2nd	side_b	side_b_id	side_b_2nd	incompatibility	territory_name	start_date	start_prec	start_date2	start_prec2	ep_end	ep_end_date	ep_end_prec	gwno_a	gwno_a_2nd	gwno_b	gwno_b_2nd	gwno_loc	region	version	africa
"DZA"		"Algeria"	1899	2	1																										
"DZA"		"Algeria"	1900	2	1																										
"DZA"		"Algeria"	1954	1	1		0	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1955	2	1		1	246	"Government of France"	33		"FLN , MNA"	"403, 404"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1956	2	1		1	246	"Government of France"	33		"FLN , MNA"	"403, 404"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1957	2	1		1	246	"Government of France"	33		"FLN , MNA"	"403, 404"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1958	2	1		1	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1959	2	1		1	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1960	2	1		1	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1961	2	1		1	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	0			220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1962	1	1		1	246	"Government of France"	33		"FLN "	"403"		1	"Algeria"	"1954-11-01"	1	"1954-11-29"	2	1	"1962-03-19"		220				"615"	"4"	19.1	1
"DZA"		"Algeria"	1991	1	3		0	386	"Government of Algeria"	109		"Takfir wa'l Hijra"	"536"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1992	1	3		0	386	"Government of Algeria"	109		"AIS"	"537"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1993	1	3		1	386	"Government of Algeria"	109		"AIS, GIA"	"537, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1994	2	3		1	386	"Government of Algeria"	109		"AIS, GIA"	"537, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1995	2	3		1	386	"Government of Algeria"	109		"AIS, GIA"	"537, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1996	2	3		1	386	"Government of Algeria"	109		"AIS, GIA"	"537, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1997	2	3		1	386	"Government of Algeria"	109		"AIS, GIA"	"537, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1998	2	3		1	386	"Government of Algeria"	109		"GIA"	"538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	1999	2	3		1	386	"Government of Algeria"	109		"AQIM, GIA"	"539, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2000	1	3		1	386	"Government of Algeria"	109		"AQIM, GIA"	"539, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2001	1	3		1	386	"Government of Algeria"	109		"AQIM, GIA"	"539, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2002	1	3		1	386	"Government of Algeria"	109		"AQIM, GIA"	"539, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2003	1	3		1	386	"Government of Algeria"	109		"AQIM, GIA"	"539, 538"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2004	1	4		1	386	"Government of Algeria"	109	"Government of Chad, Government of Mali, Government of Niger"	"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615	"483, 432, 436"			"615"	"4"	19.1	1
"DZA"		"Algeria"	2005	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2006	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2007	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2008	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2009	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2010	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2011	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2012	1	3		1	386	"Government of Algeria"	109		"AQIM, MUJAO"	"539, 1161"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2013	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2014	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2015	1	3		0	13721	"Government of Algeria"	109		"IS"	"234"		1	"Islamic State"	"2014-10-10"	1	"2015-05-20"	1	1	"2015-05-20"		615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2015	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2016	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2017	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"		"Algeria"	2018	1	3		1	386	"Government of Algeria"	109		"AQIM"	"539"		2		"1985-08-27"	1	"1991-12-09"	1	0			615				"615"	"4"	19.1	1
"DZA"	"MAR"	"Algeria, Morocco"	1963	1	2		0	278	"Government of Algeria"	109		"Government of Morocco"	"108"		1	"Common Border"	"1963-10-08"	1	"1963-10-08"	1	1	"1963-11-04"		615		600		"600, 615"	"4"	19.1	1
"AGO"		"Angola"	1902	2	1																										
"AGO"		"Angola"	1904	1	1																										
"AGO"		"Angola"	1907	1	1																										
"AGO"		"Angola"	1908	1	1																										
"AGO"		"Angola"	1909	1	1																										
"AGO"		"Angola"	1910	1	1																										
"AGO"		"Angola"	1911	1	1																										
"AGO"		"Angola"	1913	1	1																										
"AGO"		"Angola"	1961	2	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1962	2	1		1	263	"Government of Portugal"	36		"FNLA"	"566"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1963	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1964	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1965	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1966	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA, UNITA"	"566, 405, 567"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1967	1	1		1	263	"Government of Portugal"	36		"MPLA, UNITA"	"405, 567"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1968	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1969	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1970	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1971	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1972	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1973	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	0			235				"540"	"4"	19.1	1
"AGO"		"Angola"	1974	1	1		1	263	"Government of Portugal"	36		"FNLA, MPLA"	"566, 405"		1	"Angola"	"1961-02-04"	1	"1961-02-04"	1	1	"1974-10-21"		235				"540"	"4"	19.1	1
"AGO"		"Angola"	1975	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"FNLA, UNITA"	"566, 567"	"Government of DR Congo (Zaire), Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560, 490"	"540"	"4"	19.1	1
"AGO"		"Angola"	1976	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"FNLA, UNITA"	"566, 567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1977	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"FNLA, UNITA"	"566, 567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"			"540"	"4"	19.1	1
"AGO"		"Angola"	1978	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"FNLA, UNITA"	"566, 567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"			"540"	"4"	19.1	1
"AGO"		"Angola"	1979	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"FNLA, UNITA"	"566, 567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"			"540"	"4"	19.1	1
"AGO"		"Angola"	1980	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1981	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1982	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1983	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1984	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1985	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1986	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1987	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1988	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"	"Government of South Africa"	2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"		"560"	"540"	"4"	19.1	1
"AGO"		"Angola"	1989	2	4		1	327	"Government of Angola"	99	"Government of Cuba"	"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540	"40"			"540"	"4"	19.1	1
"AGO"		"Angola"	1990	2	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1991	1	3		0	387	"Government of Angola"	99		"FLEC-R"	"540"		1	"Cabinda"	"1991-06-03"	3	"1991-06-03"	3	1	"1991-11-10"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	1991	1	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1992	2	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1993	2	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1994	1	3		0	387	"Government of Angola"	99		"FLEC-FAC, FLEC-R"	"541, 540"		1	"Cabinda"	"1991-06-03"	3	"1994-12-31"	5	1	"1994-12-31"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	1994	2	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1995	1	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1975-11-11"	1	1	"1995-12-24"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	1996	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"1996-05-22"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1997	1	3		0	387	"Government of Angola"	99		"FLEC-FAC, FLEC-R"	"541, 540"		1	"Cabinda"	"1991-06-03"	3	"1996-05-22"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1998	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"1996-05-22"	1	1	"1998-11-15"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	1998	2	3		1	327	"Government of Angola"	99		"UNITA"	"567"		2		"1975-11-11"	1	"1998-05-02"	1	0			540				"540"	"4"	19.1	1
"AGO"		"Angola"	1999	2	4		1	327	"Government of Angola"	99	"Government of Namibia"	"UNITA"	"567"		2		"1975-11-11"	1	"1998-05-02"	1	0			540	"565"			"540"	"4"	19.1	1
"AGO"		"Angola"	2000	2	4		1	327	"Government of Angola"	99	"Government of Namibia"	"UNITA"	"567"		2		"1975-11-11"	1	"1998-05-02"	1	0			540	"565"			"540"	"4"	19.1	1
"AGO"		"Angola"	2001	2	4		1	327	"Government of Angola"	99	"Government of Namibia"	"UNITA"	"567"		2		"1975-11-11"	1	"1998-05-02"	1	0			540	"565"			"540"	"4"	19.1	1
"AGO"		"Angola"	2002	1	3		0	387	"Government of Angola"	99		"FLEC-FAC, FLEC-R"	"541, 540"		1	"Cabinda"	"1991-06-03"	3	"2002-11-12"	1	1	"2002-12-31"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	2002	1	4		1	327	"Government of Angola"	99	"Government of Namibia"	"UNITA"	"567"		2		"1975-11-11"	1	"1998-05-02"	1	1	"2002-04-01"		540	"565"			"540"	"4"	19.1	1
"AGO"		"Angola"	2004	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"2004-02-10"	1	1	"2004-04-24"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	2007	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"2007-12-31"	5	1	"2007-12-31"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	2009	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"2009-12-31"	5	1	"2009-12-31"		540				"540"	"4"	19.1	1
"AGO"		"Angola"	2017	1	3		0	387	"Government of Angola"	99		"FLEC-FAC"	"541"		1	"Cabinda"	"1991-06-03"	3	"2017-12-31"	5	1	"2017-12-31"		540				"540"	"4"	19.1	1
"BEN"		"Benin"	1890	2	1	1500																									
"BEN"		"Benin"	1892	2	1	750																									
"BEN"		"Benin"	1893	2	1	750																									
"BEN"		"Benin"	1897	2	1	1500																									
"BEN"		"Benin"	1915	2	3																										
"BEN"		"Benin"	1916	1	1																										
"BEN"		"Benin"	1916	2	3																										
"BFA"		"Burkina Faso"	1890	2	1																										
"BFA"		"Burkina Faso"	1891	2	1																										
"BFA"		"Burkina Faso"	1892	2	1																										
"BFA"		"Burkina Faso"	1893	2	1																										
"BFA"		"Burkina Faso"	1894	2	1																										
"BFA"		"Burkina Faso"	1895	2	1																										
"BFA"		"Burkina Faso"	1896	2	1																										
"BFA"		"Burkina Faso"	1897	2	1																										
"BFA"		"Burkina Faso"	1898	2	1																										
"BFA"		"Burkina Faso"	1915	2	1																										
"BFA"		"Burkina Faso"	1987	1	3		0	360	"Government of Burkina Faso"	78		"Popular Front"	"517"		2		"1987-10-15"	1	"1987-10-15"	1	1	"1987-10-15"		439				"439"	"4"	19.1	1
"BFA"		"Burkina Faso"	2018	1	4		0	360	"Government of Burkina Faso"	78	"Government of Mali"	"JNIM"	"6716"		2		"1987-10-15"	1	"2018-10-18"	2	0			439	"432"			"439"	"4"	19.1	1
"BFA"	"MLI"	"Burkina Faso, Mali"	1985	1	2		0	355	"Government of Burkina Faso"	78		"Government of Mali"	"72"		1	"Agacher Strip"	"1985-12-25"	1	"1985-12-26"	2	1	"1985-12-31"		439		432		"432, 439"	"4"	19.1	1
"BDI"		"Burundi"	1902	2	1																										
"BDI"		"Burundi"	1903	2	1																										
"BDI"		"Burundi"	1908	1	1																										
"BDI"		"Burundi"	1909	1	1																										
"BDI"		"Burundi"	1910	1	1																										
"BDI"		"Burundi"	1911	1	1																										
"BDI"		"Burundi"	1912	1	1																										
"BDI"		"Burundi"	1965	1	3		0	287	"Government of Burundi"	93		"Military faction (forces loyal to Gervais Nyangoma)"	"429"		2		"1965-10-18"	1	"1965-10-19"	2	1	"1965-10-19"		516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1991	1	3		0	287	"Government of Burundi"	93		"Palipehutu"	"430"		2		"1965-10-18"	1	"1991-11-27"	2	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1992	1	3		0	287	"Government of Burundi"	93		"Palipehutu"	"430"		2		"1965-10-18"	1	"1991-11-27"	2	1	"1992-04-14"		516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1994	1	3		0	287	"Government of Burundi"	93		"CNDD"	"431"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1995	1	3		0	287	"Government of Burundi"	93		"CNDD"	"431"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1996	1	3		1	287	"Government of Burundi"	93		"CNDD"	"431"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1997	1	3		1	287	"Government of Burundi"	93		"CNDD, Frolina, Palipehutu-FNL"	"431, 433, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1998	1	3		1	287	"Government of Burundi"	93		"CNDD, CNDD-FDD , Palipehutu-FNL"	"431, 434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	1999	1	3		1	287	"Government of Burundi"	93		"CNDD-FDD , Palipehutu-FNL"	"434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2000	2	3		1	287	"Government of Burundi"	93		"CNDD-FDD , Palipehutu-FNL"	"434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2001	2	3		1	287	"Government of Burundi"	93		"CNDD-FDD , Palipehutu-FNL"	"434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2002	2	3		1	287	"Government of Burundi"	93		"CNDD-FDD , Palipehutu-FNL"	"434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2003	1	3		1	287	"Government of Burundi"	93		"CNDD-FDD , Palipehutu-FNL"	"434, 432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2004	1	3		1	287	"Government of Burundi"	93		"Palipehutu-FNL"	"432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2005	1	3		1	287	"Government of Burundi"	93		"Palipehutu-FNL"	"432"		2		"1965-10-18"	1	"1994-10-18"	3	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2006	1	3		1	287	"Government of Burundi"	93		"Palipehutu-FNL"	"432"		2		"1965-10-18"	1	"1994-10-18"	3	1	"2006-09-26"		516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2008	1	3		1	287	"Government of Burundi"	93		"Palipehutu-FNL"	"432"		2		"1965-10-18"	1	"2008-03-01"	2	1	"2008-08-22"		516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2014	1	3		1	287	"Government of Burundi"	93		"RED-TABARA "	"6513"		2		"1965-10-18"	1	"2014-12-30"	1	0			516				"516"	"4"	19.1	1
"BDI"		"Burundi"	2015	1	3		1	287	"Government of Burundi"	93		"FPB, Military faction (forces of Godefroid Niyombare)"	"6297, 6187"		2		"1965-10-18"	1	"2014-12-30"	1	1	"2015-12-11"		516				"516"	"4"	19.1	1
"CMR"		"Cameroon"	1904	1	1																										
"CMR"		"Cameroon"	1905	1	1																										
"CMR"		"Cameroon"	1914	2	2																										
"CMR"		"Cameroon"	1915	2	2																										
"CMR"		"Cameroon"	1916	2	2																										
"CMR"		"Cameroon"	1957	1	1		0	254	"Government of France"	33		"UPC"	"564"		1	"Cameroon"	"1957-09-30"	3	"1957-09-30"	3	0			220				"471"	"4"	19.1	1
"CMR"		"Cameroon"	1958	1	1		0	254	"Government of France"	33		"UPC"	"564"		1	"Cameroon"	"1957-09-30"	3	"1957-09-30"	3	0			220				"471"	"4"	19.1	1
"CMR"		"Cameroon"	1959	1	1		0	254	"Government of France"	33		"UPC"	"564"		1	"Cameroon"	"1957-09-30"	3	"1957-09-30"	3	1	"1959-12-31"		220				"471"	"4"	19.1	1
"CMR"		"Cameroon"	1960	2	4		1	353	"Government of Cameroon"	83	"Government of France"	"UPC"	"564"		2		"1960-01-31"	4	"1960-01-31"	4	0			471	"220"			"471"	"4"	19.1	1
