iso	year	v2x_polyarchy	v2x_libdem	v2x_partipdem	v2x_delibdem	v2x_egaldem	v2x_suffr	v2x_jucon	v2xlg_legcon	v2stfisccap
"MEX"	1789.0	0.031	0.043	0.008			0.0	0.285		-0.503
"MEX"	1790.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1791.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1792.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1793.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1794.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1795.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1796.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1797.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1798.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1799.0	0.031	0.04	0.008			0.0	0.285		-0.503
"MEX"	1800.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1801.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1802.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1803.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1804.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1805.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1806.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1807.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1808.0	0.031	0.041	0.008			0.0	0.285		-0.503
"MEX"	1809.0	0.031	0.045	0.008			0.0	0.285		-0.503
"MEX"	1810.0	0.033	0.043	0.008			0.0	0.285		-0.501
"MEX"	1811.0	0.033	0.043	0.008			0.0	0.285		-0.501
"MEX"	1812.0	0.038	0.046	0.008			0.0	0.345		-0.501
"MEX"	1813.0	0.05	0.054	0.009			0.0	0.345		-0.501
"MEX"	1814.0	0.05	0.054	0.009			0.0	0.345		-0.501
"MEX"	1815.0	0.05	0.054	0.009			0.0	0.345		-0.501
"MEX"	1816.0	0.041	0.055	0.009			0.0	0.345		-0.501
"MEX"	1817.0	0.041	0.055	0.009			0.0	0.345		-0.501
"MEX"	1818.0	0.041	0.055	0.009			0.0	0.345		-0.501
"MEX"	1819.0	0.041	0.055	0.009			0.0	0.345		-0.501
"MEX"	1820.0	0.049	0.048	0.01			0.0	0.089		-0.51
"MEX"	1821.0	0.091	0.036	0.028			0.0	0.098		-0.61
"MEX"	1822.0	0.137	0.105	0.077			0.0	0.205	0.609	-0.61
"MEX"	1823.0	0.165	0.107	0.082			0.5	0.205	0.609	-0.61
"MEX"	1824.0	0.182	0.112	0.093			0.5	0.287	0.603	-0.61
"MEX"	1825.0	0.182	0.12	0.13			0.5	0.287	0.603	0.071
"MEX"	1826.0	0.182	0.12	0.13			0.5	0.287	0.603	0.071
"MEX"	1827.0	0.182	0.12	0.13			0.5	0.287	0.603	0.071
"MEX"	1828.0	0.182	0.12	0.13			0.5	0.287	0.603	0.071
"MEX"	1829.0	0.182	0.12	0.13			0.5	0.287	0.603	0.071
"MEX"	1830.0	0.134	0.114	0.119			0.5	0.262	0.603	0.064
"MEX"	1831.0	0.134	0.114	0.119			0.5	0.262	0.603	0.064
"MEX"	1832.0	0.146	0.117	0.121			0.5	0.262	0.603	0.064
"MEX"	1833.0	0.165	0.121	0.126			0.5	0.262	0.603	0.064
"MEX"	1834.0	0.165	0.121	0.126			0.5	0.262	0.603	0.064
"MEX"	1835.0	0.165	0.121	0.126			0.5	0.262	0.603	0.064
"MEX"	1836.0	0.165	0.134	0.075			0.5	0.262	0.663	0.064
"MEX"	1837.0	0.146	0.129	0.071			0.2	0.262	0.663	0.064
"MEX"	1838.0	0.146	0.129	0.071			0.2	0.262	0.663	0.064
"MEX"	1839.0	0.146	0.129	0.071			0.2	0.262	0.663	0.064
"MEX"	1840.0	0.152	0.133	0.072			0.2	0.376	0.67	0.064
"MEX"	1841.0	0.15	0.115	0.072			0.2	0.173	0.588	0.064
"MEX"	1842.0	0.188	0.125	0.081			0.5	0.173	0.588	0.064
"MEX"	1843.0	0.234	0.155	0.091			0.5	0.353	0.588	0.064
"MEX"	1844.0	0.234	0.155	0.091			0.5	0.353	0.588	0.064
"MEX"	1845.0	0.234	0.155	0.091			0.5	0.353	0.588	0.064
"MEX"	1846.0	0.2	0.132	0.083			0.5	0.169	0.588	0.064
"MEX"	1847.0	0.22	0.137	0.138			0.5	0.169	0.588	0.064
"MEX"	1848.0	0.235	0.141	0.143			0.5	0.169	0.588	0.064
"MEX"	1849.0	0.235	0.141	0.143			0.5	0.169	0.588	0.064
"MEX"	1850.0	0.198	0.127	0.132			0.5	0.082	0.588	0.064
"MEX"	1851.0	0.198	0.127	0.132			0.5	0.082	0.588	0.064
"MEX"	1852.0	0.198	0.127	0.132			0.5	0.082	0.588	0.064
"MEX"	1853.0	0.198	0.127	0.132			0.5	0.082	0.588	0.064
"MEX"	1854.0	0.238	0.143	0.145			0.5	0.175	0.588	0.064
"MEX"	1855.0	0.238	0.143	0.145			0.5	0.175	0.588	0.064
"MEX"	1856.0	0.238	0.139	0.145			0.5	0.186	0.588	0.064
"MEX"	1857.0	0.238	0.137	0.159			0.5	0.249	0.46	0.064
"MEX"	1858.0	0.185	0.113	0.143			0.5	0.249	0.46	0.064
