iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181	g_182	g_183	g_184	g_185	g_186	g_187	g_188	g_189	g_190	g_191
"AFO"	2585819	439440.0		4.3658368E7	1.06482965E8		8791864.0	8310375		359928	6.0796312E8		110226269	78647675	21362352	15861772	30148649	25954846	4880951	6507903	6544499	191981	5187538	3994642	5192812	2704084.0	907552	1940650.0	2425206.0	2673529	2993049	554369	279605	471956	1.0100599E7	419621.0	11529401	216913	513199	2250026.0	391649	270265	1270956	724100	1450350	1655543	32611		62700	783898	83090	1365667	168900	12690519	86886588																																																																																																																																								
"DZA"																																		155022																	412000			39102																							130352	273987	43028				191141.0		208480	3413	108713			35354	1518729	71259	218248	25779		1381	14532		4414	67506	4447	15812	53866	766	6704			25342																3128			23256	143996	40288	4026	34421																																		767289																										
"AGO"				85000.0	15000.0				690000.0			92000.0			64000					150000			152000				170000		20000.0				5000	12000						534000.0												13000													50000.0						169000																																																										31000			20000																																	56000																										
"BEN"		267299.0		2.3957688E7	158502.0						306963.0		59877944					182584									140000										724506						1191402											5709136																																																																									4895799									721649																																																							
"BWA"																																																																																																																																																																																															
"BFA"	2585819	439440.0	0.0	4.3658368E7	1.06482965E8	0	8791864.0	8310375	0.0	359928	6.0796312E8	0.0	110226269	78647675	21362352	15861772	30148649	25954846	4880951	6507903	6544499	191981	5187538	3994642	5192812	2704084.0	907552	1940650.0	2425206.0	2673529	2993049	554369	279605	471956	1.0100599E7	419621.0	11529401	216913	513199	2250026.0	391649	270265	1270956	724100	1450350	1655543	32611	0	62700	783898	83090	1365667	168900	12690519	86886588	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BRD"			755880.0	364845.0				180				155056.0											430322		1928543								960	67884		695744.0				275264.0		7085												78782		1445840.0									59540.0																		3257.0		13325						6000									107704					3285			33363																	45577.0				1742											10403556											1261														1562																										33350
"CMR"				1.602323E7			6047438.0	19736681			691357.0		63795523																																									350004																																																																																			41040485			2244328									1175700	394912	3644900	152669																																							
"CAF"																																																																																																																																																																																															
"TCD"																																																																																																																																																																																															
"COD"			148.7	86.1	8.2		14.3		102.8																			31.9								34.7				5.5																22.9																	519.5																																																																																																																						
"DJI"																		131103993					5632875		42883493											951470.0				1.37127261E8												1946385																																																																																																																																	1154453										
"EGY"																			109													3356	1023	346																							102.5																																																																								1246																																																		288	148											
