iso	g_1	g_2	g_3	g_4	g_5	g_6	g_7	g_8	g_9	g_10	g_11	g_12	g_13	g_14	g_15	g_16	g_17	g_18	g_19	g_20	g_21	g_22	g_23	g_24	g_25	g_26	g_27	g_28	g_29	g_30	g_31	g_32	g_33	g_34	g_35	g_36	g_37	g_38	g_39	g_40	g_41	g_42	g_43	g_44	g_45	g_46	g_47	g_48	g_49	g_50	g_51	g_52	g_53	g_54	g_55	g_56	g_57	g_58	g_59	g_60	g_61	g_62	g_63	g_64	g_65	g_66	g_67	g_68	g_69	g_70	g_71	g_72	g_73	g_74	g_75	g_76	g_77	g_78	g_79	g_80	g_81	g_82	g_83	g_84	g_85	g_86	g_87	g_88	g_89	g_90	g_91	g_92	g_93	g_94	g_95	g_96	g_97	g_98	g_99	g_100	g_101	g_102	g_103	g_104	g_105	g_106	g_107	g_108	g_109	g_110	g_111	g_112	g_113	g_114	g_115	g_116	g_117	g_118	g_119	g_120	g_121	g_122	g_123	g_124	g_125	g_126	g_127	g_128	g_129	g_130	g_131	g_132	g_133	g_134	g_135	g_136	g_137	g_138	g_139	g_140	g_141	g_142	g_143	g_144	g_145	g_146	g_147	g_148	g_149	g_150	g_151	g_152	g_153	g_154	g_155	g_156	g_157	g_158	g_159	g_160	g_161	g_162	g_163	g_164	g_165	g_166	g_167	g_168	g_169	g_170	g_171	g_172	g_173	g_174	g_175	g_176	g_177	g_178	g_179	g_180	g_181	g_182	g_183	g_184	g_185	g_186	g_187	g_188	g_189	g_190	g_191	g_192	g_193	g_194	g_195	g_196	g_197	g_198	g_199	g_200	g_201	g_202	g_203	g_204	g_205	g_206	g_207	g_208	g_209	g_210	g_211	g_212	g_213	g_214	g_215	g_216	g_217	g_218	g_219	g_220	g_221	g_222	g_223	g_224	g_225	g_226	g_227	g_228	g_229	g_230	g_231	g_232	g_233	g_234	g_235	g_236	g_237	g_238	g_239	g_240	g_241	g_242	g_243	g_244	g_245	g_246	g_247	g_248	g_249	g_250	g_251	g_252	g_253	g_254	g_255	g_256	g_257	g_258	export_total
"AFO"				6.36	212.28			80.68	7.48				41.42			7.64				42.38				21.4			11.86													323.52						220.24													289.54																		15.36																																									79.22		7.56																																											9.1																																																																																																1376.04
"DZA"																																		48.82																																		141.67							22.44																										27.73																	262.02											101.98																																		40.71												15.19					20.9			41.81			15.08	1043.04					121.91				22.38	20.86																																																														1946.54
"AGO"				48928.0	4861.0	25266		56968.0	596405.0														27401				75900.0		290546.0				3771.0							1390173.0						7057.0					214950	9259					104662								189.0			90586.0			77812.0		17215																																										4681.0																				55470.0	20				12847								33779.0			3441.0											29382		248640																																																																																															
"BEN"				59.68											2.61												4.19													2.49																			13.62																																																											7.65																																																																																																																																													90.24
"BWA"						71				2.0	10.0	691.0																																										31.0											151.0		132.0																																																																																	11.0																																																								10																											1578																												2687.0
"BFA"																											2.34																1.88																0.38																		15.04																																									1.23									0.41																																																																																																																																				21.28
"BRD"												16.7			114.1																									679.6																																																																																																																																																																																																																											1480.0
"CMR"					175.49		12.67	26.98					10.73											11.75																92.19																			2.7																																																											34.92									20.93																								2.62																																																	88.04																																																											479.02
"CAF"							1.84	1.73	8.3						30.72											0.91														17.07																			1.79																																																											6.17																																																																																																																																													68.53
"TCD"												4.24			40.77	0.88											1.06																																0.88						7.83																																																		4.01			5.75																																																																																																																																													65.42
"COD"			10970	18830.0	1440.0	3380	11130.0		15240.0															620.0								1400.0																						31580.0	2170	3050																79810			4840.0	1230																																																																																																																																																												15380	3760	13690	1340	1520	1320	7410	420	930	160																		250050.0
"DJI"																																																																																																																																																																																																																																																																			
"EGY"						2728					3676.0																						28229.0																					47380.0	2746		387002														4704.0																																																																																																													3877.0																		8323.0								51208.0	10282																																																				550155.0
"GNQ"				43.0	1126.0			286.0																																337.0														100.0																																																																																																																																																																																																													1892.0
"ERI"																																																																																																																																																																																																																																																																			
"ETH"												7.7								16.7					10.7															104.8														30.2																																																																																													0.4	22.1																																																																																																															192.6
"GAB"								171.91		2.76	0.42																													0.75																																																																														2.56																			8.8																																																													49.32																																																													236.52
