iso	area_1961
"ABW"	180.0
"AFG"	652860.0
"AGO"	1246700.0
"ALB"	27400.0
"AND"	470.0
"ARB"	1.1235451E7
"ARE"	71020.0
"ARG"	2736690.0
"ARM"	28470.0
"ASM"	200.0
"ATG"	440.0
"AUS"	7682300.0
"AUT"	82580.0
"AZE"	83217.0
"BDI"	25680.0
"BEL"	
"BEN"	112760.0
"BFA"	273600.0
"BGD"	130170.0
"BGR"	110630.0
"BHR"	690.0
"BHS"	10010.0
"BIH"	51200.0
"BLR"	202840.0
"BLZ"	22810.0
"BMU"	54.00000095
"BOL"	1083300.0
"BRA"	8358140.0
"BRB"	430.0
"BRN"	5270.0
"BTN"	46722.99805
"BWA"	566730.0
"CAF"	622980.0
"CAN"	9093510.0
"CEB"	1105986.0
"CHE"	39528.00049
"CHI"	197.9999924
"CHL"	743532.0313
"CHN"	9388250.0
"CIV"	318000.0
"CMR"	472710.0
"COD"	2267050.0
"COG"	341500.0
"COL"	1109500.0
"COM"	1861.000061
"CPV"	4030.0
"CRI"	51060.0
"CSS"	404800.0
"CUB"	107400.0
"CUW"	444.0
"CYM"	240.0
"CYP"	9240.0
"CZE"	77270.0
"DEU"	349130.0
"DJI"	23180.0
"DMA"	750.0
"DNK"	42370.0
"DOM"	48310.0
"DZA"	2381740.0
"EAP"	1.592863E7
"EAR"	3.3145133E7
"EAS"	2.440227E7
"ECA"	2.2639404E7
"ECS"	2.7358694E7
"ECU"	276840.0
"EGY"	995450.0
"EMU"	2645872.016
"ERI"	101000.0
"ESP"	499780.0
"EST"	42390.0
"ETH"	1000000.0
"EUU"	4210992.016
"FCS"	1.2937278E7
"FIN"	304590.0
"FJI"	18270.0
"FRA"	547566.0156
"FRO"	1396.000061
"FSM"	
"GAB"	257670.0
"GBR"	241930.0
"GEO"	69490.0
"GHA"	227540.0
"GIB"	10.0
"GIN"	245720.0
"GMB"	10120.0
"GNB"	28120.0
"GNQ"	28050.0
"GRC"	128900.0
"GRD"	340.0
"GRL"	341700.0
"GTM"	107160.0
"GUM"	540.0
"GUY"	196710.0
"HIC"	3.504872843E7
"HKG"	1020.0
"HND"	111890.0
"HPC"	1.7378481E7
"HRV"	55910.0
"HTI"	27560.0
"HUN"	90040.0
"IBD"	6.944146903E7
"IBT"	9.341180003E7
"IDA"	2.3970331E7
"IDB"	5955800.0
"IDN"	1811570.0
"IDX"	1.8014531E7
"IMN"	570.0
"IND"	2973190.0
"INX"	
"IRL"	68890.0
"IRN"	1628760.0
"IRQ"	437370.0
"ISL"	100250.0
"ISR"	21640.0
"ITA"	294110.0
"JAM"	10830.0
"JOR"	88240.0
"JPN"	366700.0
"KAZ"	2699700.0
"KEN"	569140.0
"KGZ"	191800.0
"KHM"	176520.0
"KIR"	810.0
"KNA"	350.0
"KOR"	96460.0
"KWT"	17820.0
"LAC"	1.905078E7
"LAO"	230800.0
"LBN"	10230.0
"LBR"	96320.0
"LBY"	1759540.0
"LCA"	610.0
"LCN"	2.007130443E7
"LDC"	1.7771344E7
"LIC"	1.365217E7
"LIE"	160.0
"LKA"	62710.0
"LMC"	2.0165814E7
"LMY"	9.2284358E7
"LSO"	30360.0
"LTE"	4.454751503E7
"LTU"	62680.0
"LUX"	
"LVA"	62196.0
"MAC"	20.0
"MAF"	54.4
"MAR"	446340.0
"MCO"	2.0
"MDA"	32870.0
"MDG"	581540.0
"MDV"	300.0
"MEA"	1.122627E7
"MEX"	1943950.0
"MHL"	
"MIC"	7.8632188E7
"MKD"	25430.0
"MLI"	1220190.0
"MLT"	320.0
"MMR"	653540.0
"MNA"	8643980.0
"MNE"	13450.0
"MNG"	1553560.0
"MNP"	
"MOZ"	786380.0
"MRT"	1030700.0
"MUS"	2030.0
"MWI"	94280.0
"MYS"	328550.0
"NAC"	1.8252524E7
"NAM"	823290.0
"NCL"	18280.0
"NER"	1266700.0
"NGA"	910770.0
"NIC"	120340.0
"NLD"	33760.0
"NOR"	365243.9844
"NPL"	143000.0
"NRU"	20.0
"NZL"	263310.0
"OED"	3.444956603E7
