"term","beta_short","beta_long","theta","pi","ivb_formula","ivb_direct","diff_check","collider","collider_label","table","sample_n"
"ipema_any_demo_assist_dum_2l",0.112832288065266,0.118366241168706,2.38182820536029e-05,-232.340564738701,0.00553395310343976,0.00553395310343978,-1.73472347597681e-17,"iwdi_gdppc_3l","GDP per capita (3yr lag)","Table 2: Democracy Mandates",832
"ipema_any_demo_assist_dum_2l",0.113378892328792,0.118366241168706,-2.76432805431971e-08,180418.124835818,0.00498734883991405,0.00498734883991407,-1.99493199737333e-17,"iunhcr_ref_idp_3l","Refugees & IDPs (3yr lag)","Table 2: Democracy Mandates",832
"ipema_any_demo_assist_dum_2l",0.115472599104611,0.118366241168706,-7.55440274430636e-12,383040481.429967,0.00289364206409497,0.00289364206409497,5.63785129692462e-18,"iwdi_oda_3l","Foreign Aid (3yr lag)","Table 2: Democracy Mandates",832
"ipema_any_demo_assist_dum_2l",0.119363186732079,0.118366241168706,0.000144262137545903,6.91065292898581,-0.00099694556337335,-0.000996945563373319,-3.03576608295941e-17,"iwdi_fuel_3l","Fuel Exports (3yr lag)","Table 2: Democracy Mandates",832
"ipema_any_demo_assist_dum_2l",0.118908000051424,0.118366241168706,3.83590741123482e-09,141233.566047847,-0.000541758882718059,-0.000541758882718041,-1.8323016715005e-17,"iwdi_pop_3l","Population (3yr lag)","Table 2: Democracy Mandates",832
"ipema_any_demo_assist_dum_2l",0.118326684457883,0.118366241168706,0.00021564831393552,-0.183431579409959,3.95567108222873e-05,3.95567108223138e-05,-2.65561769623168e-17,"iwdi_literacy_3l","Literacy (3yr lag)","Table 2: Democracy Mandates",832
"itotal_compound_K_2l",0.00637836098188736,0.00809222567841789,-5.02916492416143e-08,34078.5144725851,0.00171386469653053,0.00171386469653053,0,"iunhcr_ref_idp_3l","Refugees & IDPs (3yr lag)","Table 4: Uniformed Personnel",804
"itotal_compound_K_2l",0.00777194310943149,0.00809222567841789,-8.72044162281723e-12,36727792.3343202,0.000320282568986394,0.000320282568986394,-3.79470760369927e-19,"iwdi_oda_3l","Foreign Aid (3yr lag)","Table 4: Uniformed Personnel",804
"itotal_compound_K_2l",0.00817311887633773,0.00809222567841789,0.000145330195097725,0.55661659206777,-8.089319791984e-05,-8.08931979198388e-05,-1.20617491689012e-18,"iwdi_fuel_3l","Fuel Exports (3yr lag)","Table 4: Uniformed Personnel",804
"itotal_compound_K_2l",0.00804364090600876,0.00809222567841789,2.08380951981731e-05,-2.3315361575557,4.85847724091284e-05,4.85847724091288e-05,-4.06575814682064e-19,"iwdi_gdppc_3l","GDP per capita (3yr lag)","Table 4: Uniformed Personnel",804
"itotal_compound_K_2l",0.00804692833594998,0.00809222567841789,3.8627990477306e-09,-11726.5593959683,4.52973424679025e-05,4.52973424679044e-05,-1.96511643762998e-18,"iwdi_pop_3l","Population (3yr lag)","Table 4: Uniformed Personnel",804
"itotal_compound_K_2l",0.00810838363360131,0.00809222567841789,-0.000482723409140815,-0.0334724914463537,-1.61579551834207e-05,-1.61579551834212e-05,5.72594272343907e-19,"iwdi_literacy_3l","Literacy (3yr lag)","Table 4: Uniformed Personnel",804
"iactual_civilian_total_K_2l",0.0231058435457561,0.0333668887743901,-4.74462403174239e-08,216266.771823978,0.010261045228634,0.010261045228634,-6.93889390390723e-18,"iunhcr_ref_idp_3l","Refugees & IDPs (3yr lag)","Table 5: Civilian Personnel",695
"iactual_civilian_total_K_2l",0.0314454647120246,0.0333668887743901,-7.42546340490514e-12,258761501.820371,0.00192142406236546,0.00192142406236546,2.16840434497101e-18,"iwdi_oda_3l","Foreign Aid (3yr lag)","Table 5: Civilian Personnel",695
"iactual_civilian_total_K_2l",0.0324061537769389,0.0333668887743901,3.69806148098499e-09,-259794.219861185,0.000960734997451193,0.000960734997451189,4.01154803819637e-18,"iwdi_pop_3l","Population (3yr lag)","Table 5: Civilian Personnel",695
"iactual_civilian_total_K_2l",0.0340278132693754,0.0333668887743901,0.000155016691313936,4.26356987356186,-0.000660924494985335,-0.000660924494985338,2.92734586571086e-18,"iwdi_fuel_3l","Fuel Exports (3yr lag)","Table 5: Civilian Personnel",695
"iactual_civilian_total_K_2l",0.0337145387590963,0.0333668887743901,-0.00176105975981071,-0.197409532964166,-0.000347649984706219,-0.000347649984706211,-7.86046575051991e-18,"iwdi_literacy_3l","Literacy (3yr lag)","Table 5: Civilian Personnel",695
"iactual_civilian_total_K_2l",0.0334434197385072,0.0333668887743901,1.73274539438281e-05,4.41674607043922,-7.65309641171192e-05,-7.65309641171247e-05,5.4752209710518e-18,"iwdi_gdppc_3l","GDP per capita (3yr lag)","Table 5: Civilian Personnel",695
"iany_demo_all_max_dum_2l",0.0976712117375697,0.103463034158993,2.36661772184787e-05,-244.729952284008,0.00579182242142318,0.0057918224214232,-1.99493199737333e-17,"iwdi_gdppc_3l","GDP per capita (3yr lag)","Table 6: Democracy Activities",832
"iany_demo_all_max_dum_2l",0.10031878857127,0.103463034158993,-2.3036371054104e-08,136490.490639249,0.00314424558772245,0.00314424558772247,-2.60208521396521e-17,"iunhcr_ref_idp_3l","Refugees & IDPs (3yr lag)","Table 6: Democracy Activities",832
"iany_demo_all_max_dum_2l",0.101182468273714,0.103463034158993,-6.25723971506155e-12,364468358.114705,0.00228056588527861,0.00228056588527857,3.64291929955129e-17,"iwdi_oda_3l","Foreign Aid (3yr lag)","Table 6: Democracy Activities",832
"iany_demo_all_max_dum_2l",0.105353923000025,0.103463034158993,0.000324179908133773,5.83283785820425,-0.00189088884103185,-0.00189088884103185,1.73472347597681e-18,"iwdi_fuel_3l","Fuel Exports (3yr lag)","Table 6: Democracy Activities",832
"iany_demo_all_max_dum_2l",0.105250774486349,0.103463034158993,3.77630002683372e-09,473410.564481723,-0.0017877403273557,-0.00178774032735571,1.06251812903579e-17,"iwdi_pop_3l","Population (3yr lag)","Table 6: Democracy Activities",832
"iany_demo_all_max_dum_2l",0.103384681425836,0.103463034158993,0.000288462210123429,-0.271622175825736,7.83527331572264e-05,7.83527331572331e-05,-6.72205346941013e-18,"iwdi_literacy_3l","Literacy (3yr lag)","Table 6: Democracy Activities",832
