country_id	year	e_polity2_ipo	e_miurbaniz_ipo	e_mipopula_ipo_ln	upu_totalpo_ipo_ln_stock_1_5yr	e_migdpgro_5yr	e_migdppcln_5yr	e_miraille_ipo_stock_1	Telephone_Mainlines_C98_ipo	Maddison_gdp_1990_estimate_ln	trend
3.0	1875.0	-5.0								8.95094119556381	1.0
3.0	1880.0	-9.0								9.12055200224568	2.0
3.0	1885.0	-9.0			26.67501					9.2649568762385	3.0
3.0	1890.0	-9.0			59.470207					9.41631779831727	4.0
3.0	1895.0	-9.0			91.80338		6.951532			9.59584606941276	5.0
3.0	1900.0	-9.0	0.2187813	16.4267	123.5956		7.10932	13285.0		9.85882928768524	6.0
3.0	1905.0	-9.0	0.23524746	16.481878	155.1939	4.4845304	7.293483	89296.77		10.05072768364	7.0
3.0	1910.0	-9.0	0.2500358	16.53417	186.33626	0.8003632	7.41268	176466.73		10.1401420563902	8.0
3.0	1915.0	0.0	0.26739594	16.506584	216.25737	0.7407522	7.4567556	267259.44		10.1760459484637	9.0
3.0	1920.0	-1.0	0.2857552	16.478214	244.57596	0.73905635	7.4935613	355570.66		10.2254240261506	10.0
3.0	1925.0	-3.0	0.30763194	16.55273	271.31207	0.9453815	7.528565	439565.88		10.2917618737554	11.0
3.0	1930.0	-6.0	0.32657737	16.622078	297.04684	-3.148158	7.503932	532206.0		10.2436094314297	12.0
3.0	1935.0	-6.0	0.3519022	16.711617	321.8678	0.96030736	7.343739	619567.9		10.3757776223514	13.0
3.0	1940.0	-6.0	0.37323126	16.79379	345.9699	2.2397761	7.5029435	702427.4		10.6235232512292	14.0
3.0	1945.0	-6.0	0.4044394	16.980873	369.5606	2.9068778	7.632337	780844.5		10.8667878964079	15.0
3.0	1950.0	-6.0	0.42655	17.13841	392.26733	2.0846517	7.727159	856070.7	209000.0	11.2328713751182	16.0
3.0	1955.0	-6.0	0.47331205	17.306715	414.07626	3.0619686	7.844362	928483.06	257000.0	11.568631505261	17.0
3.0	1960.0	-6.0	0.50753	17.450731	435.10675	2.8600478	8.006087	997586.94	338450.0	11.8455095035418	18.0
3.0	1965.0	-6.0	0.55531347	17.620176	455.28073	3.27706	8.130903	1064434.1	494946.0	12.1925127702931	19.0
3.0	1970.0	-6.0	0.59021	17.765024	474.6891	3.134982	8.308569	1130413.0	858796.0	12.4943771691394	20.0
3.0	1975.0	-6.0	0.6319385	17.916353	493.5215	3.625932	8.474193	1196219.9	1644499.0	12.7879674500452	21.0
3.0	1980.0	-3.0	0.66339004	18.047764	511.9501	4.174328	8.642855	1261037.2	2699732.0	13.1286957957891	22.0
3.0	1985.0	-3.0	0.6912139	18.14806	529.63495	-0.31000578	8.753126	1325221.6	3704432.0	13.1437518852269	23.0
3.0	1990.0	0.0	0.71419	18.239206	546.4393	-0.30529597	8.679373	1389346.6	5354500.0	13.2756223704591	24.0
3.0	1995.0	4.0	0.73216087	18.331491	562.96234	-0.19831137	8.744915	1450952.6	8801030.0	13.3719168908128	25.0
3.0	2000.0	8.0	0.74722	18.415976	579.4852	3.9293108	8.813803			13.5787023900626	26.0
3.0	2005.0	8.0	0.76307994	18.472605	595.8155	0.66159046	8.891577			13.7293815437641	27.0
3.0	2010.0									13.9369755478324	28.0
4.0	1875.0										1.0
4.0	1880.0										2.0
4.0	1885.0				15.620852						3.0
4.0	1890.0				26.140232						4.0
4.0	1895.0				36.144062						5.0
4.0	1900.0		0.26019576	11.48555	46.1611			0.0			6.0
4.0	1905.0		0.27731392	11.539618	56.15275			60.0			7.0
4.0	1910.0		0.29272026	11.590911	65.25375			611.2118			8.0
4.0	1915.0		0.31267846	11.686221	73.80774			1416.3204			9.0
4.0	1920.0		0.32931027	11.773232	81.94847			2194.7786			10.0
4.0	1925.0		0.35176328	11.868543	89.99132			2935.085			11.0
4.0	1930.0		0.3704741	11.955554	98.07337			3639.1086			12.0
4.0	1935.0		0.39532748	12.03175	103.19074			4291.6646			13.0
4.0	1940.0		0.41678333	12.102549	106.91477			4845.228			14.0
4.0	1945.0		0.44511664	12.194329	110.68772			5301.916			15.0
4.0	1950.0		0.46888125	12.278389	117.39547			5708.6045			16.0
4.0	1955.0		0.47101676	12.439164	127.00069			6095.362			17.0
4.0	1960.0		0.4726	12.577636	137.60417			6463.1636		7.56082378040848	18.0
4.0	1965.0		0.4652248	12.710322	147.77234			6680.116		7.57758274016045	19.0
4.0	1970.0		0.45947993	12.827447	157.38043			6774.2095		7.56812668842663	20.0
4.0	1975.0	5.0	0.5043385	12.818614	166.4551			6857.0757	10494.0	7.41222501389003	21.0
4.0	1980.0	-1.0	0.55000013	12.809703	175.02164			6812.1562	15203.0	7.4538414225125	22.0
4.0	1985.0	-6.0	0.61993337	12.864218	183.10414			6607.3286	27643.0	7.43659901543285	23.0
4.0	1990.0	2.0	0.6828197	12.915915	190.7255			6289.859	36673.0	7.57081665719958	24.0
4.0	1995.0	5.0	0.70304817	12.98757	197.90959				53158.0	7.6270863709834	25.0
4.0	2000.0	5.0	0.7206601	13.054431	204.78963					7.79335343257654	26.0
4.0	2005.0	5.0	0.7388401	13.1218815	211.88565					8.09860019146153	27.0
4.0	2010.0									8.4055500378714	28.0
5.0	1875.0	-4.0								8.84159722913697	1.0
5.0	1880.0	-4.0			29.776031	0.7243468	7.3062034			8.90105322416293	2.0
5.0	1885.0	-4.0			65.25451	1.4199622	7.343699			8.97350541924594	3.0
5.0	1890.0	-4.0			99.563065	0.68386704	7.3723			9.05985049033193	4.0
5.0	1895.0	-4.0			132.9249	2.3748941	7.4678583			9.20128772648729	5.0
5.0	1900.0	-4.0	0.53379196	15.344823	165.2873	2.5610108	7.6026745	11303.0		9.36588418896455	6.0
5.0	1905.0	-4.0	0.54661995	15.384751	196.88628	1.3623651	7.6912193	70643.59		9.4688136692711	7.0
5.0	1910.0	1.0	0.5584816	15.423147	227.66548	2.785564	7.8231287	133033.55		9.60544691498525	8.0
5.0	1915.0	8.0	0.5712676	15.459543	257.31018	3.6232283	7.94706	196524.62		9.75055470595049	9.0
5.0	1920.0	10.0	0.5831712	15.494661	285.6935	-0.047493983	7.993481	259417.28		9.77506275585426	10.0
5.0	1925.0	10.0	0.59576863	15.515338	312.57596	2.862732	8.06006	321542.7		9.98415094983572	11.0
