nl_type,nl_strength,nl_Y,rho_Z,TT,n_discarded,total_s
log2,0,FALSE,0.5,30,0,807.033
log2,0,FALSE,0.7,30,0,807.033
log2,0.1,FALSE,0.5,30,0,807.033
log2,0.1,FALSE,0.7,30,0,807.033
log2,0.2,FALSE,0.5,30,0,807.033
log2,0.2,FALSE,0.7,30,0,807.033
log2,0.5,FALSE,0.5,30,0,807.033
log2,0.5,FALSE,0.7,30,0,807.033
log2,0.5,TRUE,0.5,30,0,807.033
log2,0.5,TRUE,0.7,30,0,807.033
log2,1,FALSE,0.5,30,0,807.033
log2,1,FALSE,0.7,30,0,807.033
log2,1,TRUE,0.5,30,0,807.033
log2,1,TRUE,0.7,30,0,807.033
log2,2,FALSE,0.5,30,0,807.033
log2,2,FALSE,0.7,30,0,807.033
log2,2,TRUE,0.5,30,0,807.033
log2,2,TRUE,0.7,30,0,807.033
log4,0.5,FALSE,0.5,30,0,807.033
log4,0.5,FALSE,0.7,30,0,807.033
log4,1,FALSE,0.5,30,0,807.033
log4,1,FALSE,0.7,30,0,807.033
log4,2,FALSE,0.5,30,0,807.033
log4,2,FALSE,0.7,30,0,807.033
power1.5,0.5,FALSE,0.5,30,0,807.033
power1.5,0.5,FALSE,0.7,30,0,807.033
power1.5,1,FALSE,0.5,30,0,807.033
power1.5,1,FALSE,0.7,30,424,807.033
power1.5,2,FALSE,0.5,30,176,807.033
power1.5,2,FALSE,0.7,30,500,807.033
softpoly2,0.5,FALSE,0.5,30,0,807.033
softpoly2,0.5,FALSE,0.7,30,0,807.033
softpoly2,0.5,TRUE,0.5,30,0,807.033
softpoly2,0.5,TRUE,0.7,30,0,807.033
softpoly2,1,FALSE,0.5,30,0,807.033
softpoly2,1,FALSE,0.7,30,0,807.033
softpoly2,1,TRUE,0.5,30,0,807.033
softpoly2,1,TRUE,0.7,30,0,807.033
softpoly2,2,FALSE,0.5,30,0,807.033
softpoly2,2,FALSE,0.7,30,0,807.033
softpoly2,2,TRUE,0.5,30,0,807.033
softpoly2,2,TRUE,0.7,30,0,807.033
sin,0.5,FALSE,0.5,30,0,807.033
sin,0.5,FALSE,0.7,30,0,807.033
sin,1,FALSE,0.5,30,0,807.033
sin,1,FALSE,0.7,30,0,807.033
sin,2,FALSE,0.5,30,0,807.033
sin,2,FALSE,0.7,30,0,807.033
invlogit,0.5,FALSE,0.5,30,0,807.033
invlogit,0.5,FALSE,0.7,30,0,807.033
invlogit,1,FALSE,0.5,30,0,807.033
invlogit,1,FALSE,0.7,30,0,807.033
invlogit,2,FALSE,0.5,30,0,807.033
invlogit,2,FALSE,0.7,30,0,807.033
tanh,0.2,FALSE,0.5,30,0,807.033
tanh,0.2,FALSE,0.7,30,0,807.033
tanh,0.5,FALSE,0.5,30,0,807.033
tanh,0.5,FALSE,0.7,30,0,807.033
tanh,1,FALSE,0.5,30,0,807.033
tanh,1,FALSE,0.7,30,0,807.033
tanh,2,FALSE,0.5,30,0,807.033
tanh,2,FALSE,0.7,30,0,807.033
Dlog,0.2,FALSE,0.5,30,0,807.033
Dlog,0.2,FALSE,0.7,30,0,807.033
Dlog,0.5,FALSE,0.5,30,0,807.033
Dlog,0.5,FALSE,0.7,30,0,807.033
Dlog,1,FALSE,0.5,30,0,807.033
Dlog,1,FALSE,0.7,30,0,807.033
Dlog,2,FALSE,0.5,30,0,807.033
Dlog,2,FALSE,0.7,30,500,807.033
log2,0,FALSE,0.5,10,0,807.033
log2,0,FALSE,0.7,10,0,807.033
log2,0.5,FALSE,0.5,10,0,807.033
log2,0.5,FALSE,0.7,10,0,807.033
log2,1,FALSE,0.5,10,0,807.033
log2,1,FALSE,0.7,10,0,807.033
log2,2,FALSE,0.5,10,0,807.033
log2,2,FALSE,0.7,10,0,807.033
Dlog,0.5,FALSE,0.5,10,0,807.033
Dlog,0.5,FALSE,0.7,10,0,807.033
Dlog,1,FALSE,0.5,10,0,807.033
Dlog,1,FALSE,0.7,10,0,807.033
Dlog,2,FALSE,0.5,10,0,807.033
Dlog,2,FALSE,0.7,10,500,807.033
