rho_Z,sigma_aZ,pooled_s_bias,pooled_s_mcse,pooled_s_sd,pooled_l_bias,pooled_l_mcse,pooled_l_sd,twfe_s_bias,twfe_s_mcse,twfe_s_sd,twfe_l_bias,twfe_l_mcse,twfe_l_sd,adl_s_nofe_bias,adl_s_nofe_mcse,adl_s_nofe_sd,adl_l_nofe_bias,adl_l_nofe_mcse,adl_l_nofe_sd,adl_s_fe_bias,adl_s_fe_mcse,adl_s_fe_sd,adl_l_fe_bias,adl_l_fe_mcse,adl_l_fe_sd,n_sims
0.1,0.5,1.01906540960848,0.00343025821621568,0.0767029055183543,0.736914187349555,0.00317672981249256,0.0710338380688352,0.36907488480458,0.00137101288863151,0.030656780170084,0.271182774027474,0.00128148990327528,0.0286549853620315,-0.322399713244332,0.00168116358979149,0.0375919606807133,-0.342717866860909,0.00168563980454048,0.0376920518853197,0.0407852380105731,0.000804889276632188,0.0179978713691021,0.00999088289665861,0.00079900072917258,0.0178661994450179,500
0.1,2,1.1278533360389,0.00351191285705842,0.0785287587943813,0.810865465683789,0.00367102697829276,0.0820866587069826,0.367479263534678,0.00144130383935324,0.0322285336102528,0.269895108572835,0.00132758966632826,0.0296858074013624,-0.33591521242854,0.00169113439021817,0.0378149145561548,-0.332573706799236,0.00164819318838471,0.0368547200928032,0.0402321923781832,0.000850345506644849,0.0190143035721938,0.0096796194339952,0.00084932208448392,0.0189914191569786,500
0.3,0.5,1.0779340783897,0.00342514778474148,0.0765886327966476,0.680776379680274,0.00334206251775454,0.0747307897475325,0.391973800169571,0.00145859007001365,0.032615065478567,0.260460504966925,0.00127888136072746,0.0285966565774404,-0.323292620683118,0.00172936097853866,0.0386696870564799,-0.341633972055066,0.0017154044210251,0.038357608943158,0.0405396166271828,0.000833535974503255,0.0186384310068081,0.00873580753202563,0.000825776450790419,0.0184649227818589,500
0.3,2,1.23521987460779,0.00366509169137838,0.0819539416569174,0.798840851156402,0.00370047268018037,0.0827450846176414,0.394261369860351,0.00142423375940908,0.0318468350188878,0.262333126870418,0.0012509901588427,0.0279729903435554,-0.3426186324535,0.00173301264558386,0.0387513408139225,-0.333022772505392,0.00169431707524962,0.0378860815569678,0.0422227837078211,0.000825190897680433,0.0184518294162752,0.0102492156854084,0.000824154745270431,0.0184286603440371,500
0.5,0.5,1.18583696725851,0.00336205677290938,0.0751778748843895,0.613381966726936,0.0034858642747264,0.0779462947862624,0.431790589267796,0.00157530497314938,0.035224890052555,0.251112239600339,0.00128163462277809,0.0286582213884911,-0.324548502627099,0.00175051754335106,0.039142762227389,-0.341963026533225,0.00174718828162128,0.0390683176719623,0.0429378187414602,0.000803199563230725,0.0179600882288204,0.00934889750649148,0.000810265693070042,0.0181180916954059,500
0.5,2,1.46197932373779,0.0036586935523745,0.0818108749194956,0.799495229151317,0.00361611158719458,0.0808587132319173,0.432000855248126,0.00155244708466755,0.0347137721278802,0.252437155552323,0.00127782716339657,0.0285730840085046,-0.353644579251101,0.00171321308267418,0.0383086091280144,-0.333765097322039,0.00170109912777766,0.0380377328617646,0.0420748150934132,0.000800792550542789,0.0179062657888911,0.00936963826444503,0.000789979111026477,0.0176644699306006,500
0.7,0.5,1.47640848237441,0.00310341431079304,0.0693944536127891,0.528515370368347,0.00351608500015985,0.0786220507502479,0.509129292784721,0.00173172128772667,0.0387224651744032,0.23907983988676,0.00119234677764626,0.0266616844756986,-0.334080916992976,0.00175658845971675,0.039278512044183,-0.349073895874597,0.00175193958987433,0.039174560154321,0.0451049824460703,0.000805609161109164,0.0180139684753667,0.00810161786092989,0.000788376205272773,0.0176286278683325,500
0.7,2,1.90234116337343,0.00261854721403596,0.058552495728771,0.797903933721409,0.00344400328691494,0.0770102546427452,0.506476494119196,0.0017505942112902,0.0391444765746251,0.238442512998738,0.00121148780519978,0.0270896908633874,-0.376236835996846,0.00175881077026928,0.0393282044188088,-0.337889557411892,0.00160477930814895,0.0358839562190614,0.0447311386287337,0.000789927334476456,0.0176633121717457,0.0079335581109794,0.000771106309574869,0.017242461260884,500
0.85,0.5,2.16574242413753,0.00113079269120701,0.0252852932599881,0.472973764043671,0.00389753719421104,0.0871515811108969,0.71565041591113,0.00257553047386737,0.0575906121768968,0.236633499278127,0.0012717404913161,0.0284369818832179,-0.341457271133003,0.00173019584260303,0.0386883551844791,-0.345209549143957,0.00172651536991985,0.0386060573133899,0.0539490512679206,0.000789191238953768,0.0176468525754791,0.00844139908941477,0.000749501513149631,0.0167593633264153,500
0.85,2,2.29663943188941,0.000553151268408569,0.0123688383800179,0.785482315791448,0.00363954785135747,0.081382764029986,1.0343055876972,0.00332948056661464,0.0744494487671484,0.241495855623548,0.00122228277020905,0.0273310736191419,-0.394467116316389,0.0017762213940453,0.0397175178017473,-0.33792182859236,0.0016935998431888,0.0378700437605314,0.0660008179763449,0.000842077047104066,0.0188294151961699,0.00766100899107047,0.000804727635813144,0.0179942569705088,500
