spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
base,0.15694173393771926,0.014190169606225869,0.12912951257500166,0.18475395530043687,4.14946924476241e-28,1,jensen_full_like,0.1112,0.4836,5000,10000
tvc,0.13905134402096198,0.014258875372546255,0.11110446183072617,0.16699822621119778,2.8560792736513323e-22,1,jensen_full_like,0.1112,0.4836,5000,10000
safe,0.12399053502860324,0.014398841967616526,0.09576932335299101,0.15221174670421547,9.56691765055818e-18,1,jensen_full_like,0.1112,0.4836,5000,10000
full,0.11364490067476803,0.014396774085879074,0.0854277419728855,0.14186205937665056,3.576349187098205e-15,1,jensen_full_like,0.1112,0.4836,5000,10000
base,0.14633965068005625,0.01470168804038671,0.11752487160895506,0.17515442975115744,3.973939244944724e-23,2,jensen_full_like,0.1112,0.4736,5000,10000
tvc,0.13429524237872908,0.014714471595700265,0.10545540799961896,0.16313507675783923,1.0031148007732562e-19,2,jensen_full_like,0.1112,0.4736,5000,10000
safe,0.11337927840715815,0.014947716560101078,0.0840822922982471,0.1426762645160692,3.939081042481479e-14,2,jensen_full_like,0.1112,0.4736,5000,10000
full,0.10759050288454772,0.01492713282633268,0.07833386015249008,0.13684714561660535,6.539522312191395e-13,2,jensen_full_like,0.1112,0.4736,5000,10000
base,0.13109821308609407,0.014326618465912863,0.10301855687265839,0.15917786929952976,8.069576088039174e-20,3,jensen_full_like,0.1112,0.4738,5000,10000
tvc,0.12016015320515774,0.014450122094115435,0.09183843432848499,0.1484818720818305,1.1657569261032055e-16,3,jensen_full_like,0.1112,0.4738,5000,10000
safe,0.11071855250438283,0.014527703460800451,0.08224477694313605,0.1391923280656296,2.9883743675274076e-14,3,jensen_full_like,0.1112,0.4738,5000,10000
full,0.10451730744010215,0.014638212716532104,0.07582693771766301,0.13320767716254128,1.067026389043629e-12,3,jensen_full_like,0.1112,0.4738,5000,10000
base,0.13734642510089334,0.014179536559051707,0.109555044127683,0.1651378060741037,5.378394619566169e-22,4,jensen_full_like,0.1112,0.4944,5000,10000
tvc,0.12491483393199918,0.01420238258819728,0.09707867556447375,0.1527509922995246,1.932480572275831e-18,4,jensen_full_like,0.1112,0.4944,5000,10000
safe,0.10226783158126536,0.014481749635684679,0.07388412386219734,0.13065153930033338,1.868347416376113e-12,4,jensen_full_like,0.1112,0.4944,5000,10000
full,0.0955853049532431,0.01447447214739614,0.06721586084911854,0.12395474905736767,4.4264224037618914e-11,4,jensen_full_like,0.1112,0.4944,5000,10000
base,0.1506355507865075,0.013948184278356951,0.12329761195120008,0.17797348962181492,6.829285506636768e-27,5,jensen_full_like,0.1112,0.478,5000,10000
tvc,0.14013162131837684,0.014018533218522766,0.11265580109399385,0.1676074415427598,2.618573156634189e-23,5,jensen_full_like,0.1112,0.478,5000,10000
safe,0.1193753596069135,0.014169535341981848,0.09160358065896165,0.14714713855486536,4.6710860998208114e-17,5,jensen_full_like,0.1112,0.478,5000,10000
full,0.11418310637195174,0.01420402178086603,0.08634373524583185,0.14202247749807162,1.1231964780371666e-15,5,jensen_full_like,0.1112,0.478,5000,10000
base,0.12881388152684994,0.014059451742101336,0.10125786246995241,0.15636990058374747,7.272853926730827e-20,6,jensen_full_like,0.1112,0.4748,5000,10000
tvc,0.11745940889811216,0.014041815360672961,0.08993795651363184,0.14498086128259247,7.716825426469624e-17,6,jensen_full_like,0.1112,0.4748,5000,10000
safe,0.09941193996783002,0.01434880044561791,0.07128880787306664,0.1275350720625934,4.800637715274398e-12,6,jensen_full_like,0.1112,0.4748,5000,10000
full,0.09460558732184948,0.014328895198729196,0.06652146879409136,0.1226897058496076,4.464546637673448e-11,6,jensen_full_like,0.1112,0.4748,5000,10000
base,0.1487286087715244,0.014342221911658569,0.12061837036639242,0.1768388471766564,6.069647899803045e-25,7,jensen_full_like,0.1112,0.4814,5000,10000
tvc,0.13457137500031624,0.014369764907700741,0.10640715331491526,0.16273559668571722,1.1230610067977288e-20,7,jensen_full_like,0.1112,0.4814,5000,10000
safe,0.11480651748125953,0.01470779170516929,0.08597977544701077,0.1436332595155083,7.149357376550728e-15,7,jensen_full_like,0.1112,0.4814,5000,10000
full,0.10807595776496139,0.014691991165199033,0.07928018421999063,0.13687173130993216,2.2014399442656734e-13,7,jensen_full_like,0.1112,0.4814,5000,10000
base,0.13985476488545412,0.014219402545867862,0.11198524801387597,0.16772428175703227,1.2689216789545213e-22,8,jensen_full_like,0.1112,0.4906,5000,10000
tvc,0.1288352502167813,0.01434857922320059,0.10071255170998844,0.15695794872357416,3.800532046761402e-19,8,jensen_full_like,0.1112,0.4906,5000,10000
safe,0.10445006074800946,0.01448573198850001,0.07605854776084967,0.13284157373516925,6.406225930191732e-13,8,jensen_full_like,0.1112,0.4906,5000,10000
full,0.0991828799928777,0.01453878654651855,0.07068738198278587,0.12767837800296952,1.004806499399483e-11,8,jensen_full_like,0.1112,0.4906,5000,10000
base,0.14380946105938655,0.014308221546049842,0.11576586214630885,0.17185305997246425,1.522436543162053e-23,9,jensen_full_like,0.1112,0.4714,5000,10000
tvc,0.1260148422913703,0.014391408618179481,0.09780819971293918,0.15422148486980142,2.720761023027054e-18,9,jensen_full_like,0.1112,0.4714,5000,10000
safe,0.11022704595882932,0.014648929134376439,0.08151567244337199,0.13893841947428665,6.235964730282936e-14,9,jensen_full_like,0.1112,0.4714,5000,10000
full,0.1012364963620687,0.014676832777562356,0.07247043271092952,0.13000256001320787,5.941919209668972e-12,9,jensen_full_like,0.1112,0.4714,5000,10000
base,0.15039656161753412,0.014260599467464302,0.12244630026335301,0.17834682297171522,9.827881191692003e-26,10,jensen_full_like,0.1112,0.4752,5000,10000
tvc,0.13016997238212435,0.01425832768387906,0.102224163641951,0.1581157811222977,9.792220363848114e-20,10,jensen_full_like,0.1112,0.4752,5000,10000
safe,0.10946023188298064,0.01454191866872741,0.08095859502616427,0.137961868739797,6.112585955089354e-14,10,jensen_full_like,0.1112,0.4752,5000,10000
full,0.09926812390096042,0.014497080300557663,0.0708543686308823,0.12768187917103854,8.424262817883217e-12,10,jensen_full_like,0.1112,0.4752,5000,10000
base,0.140160549871857,0.01446540924091867,0.11180886873802354,0.16851223100569046,5.219687532291086e-22,11,jensen_full_like,0.1112,0.4814,5000,10000
