scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"P_N050_T50_RY50","principal",17,1,14772027,50,50,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.01314763729754,0.0203245863014348,TRUE,0.98666293499964,0.0197385308856791,TRUE,-0.0133370650003598,-0.0264847022979008,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,1,14772027,50,50,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.00533441681905,0.0200385923204502,TRUE,0.978829844921633,0.019693704727336,TRUE,-0.0211701550783672,-0.0265045718974182,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,1,14772027,50,50,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.04827808857033,0.0693705494286477,TRUE,1.02468781359329,0.0593903164278778,TRUE,0.0246878135932855,-0.0235902749770494,2400,2400,4,6,0.4130592730919,0.908858263330972,0.716752067219609,0.764857731489626,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,2,14772028,50,50,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03027254036943,0.0187745414453461,TRUE,0.985596841522474,0.0188866801532637,TRUE,-0.0144031584775265,-0.0446756988469538,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,2,14772028,50,50,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.02067159282844,0.0184649482031495,TRUE,0.976654653558351,0.019049026899121,TRUE,-0.0233453464416489,-0.0440169392700887,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,2,14772028,50,50,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,0.99034236317759,0.0714819156631183,TRUE,0.98915327678277,0.0689774292398746,TRUE,-0.01084672321723,-0.00118908639481952,2400,2400,4,6,0.779238946441365,0.875128424607372,0.03039412464608,0.0580668084065705,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,3,14772029,50,50,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.03605227558861,0.0202312038764247,TRUE,1.00082098842897,0.020540284181475,TRUE,0.00082098842896583,-0.035231287159647,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,3,14772029,50,50,0.5,0.5,0.5,0.5,"baseline","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.03603728102758,0.0200694775672468,TRUE,1.00109571718822,0.0202286224812535,TRUE,0.00109571718821755,-0.0349415638393609,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,3,14772029,50,50,0.5,0.5,0.5,0.5,"baseline","arellano_bond","Arellano-Bond sensitivity",1,1.00822975872548,0.0838158646274325,TRUE,0.980124231764932,0.0780224101976253,TRUE,-0.0198757682350681,-0.0281055269605497,2400,2400,4,6,0.835069702843939,0.580853126026999,0.658024960341521,0.114591901048235,"","ok",NA,NA
"P_N050_T50_RY50","principal",17,4,14772030,50,50,0.5,0.5,0.5,0.5,"baseline","fe_adl","FE-ADL within",1,1.05996547427949,0.0196204335995411,FALSE,1.01800564341518,0.0202700726799709,TRUE,0.018005643415175,-0.0419598308643134,2500,2500,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
