scenario_id,design_family,scenario_number,replication,seed,N,T,rho_Y,rho_D,rho_Z,sigma_alpha_Z,unit_effect_heterogeneity,estimator_id,estimator,beta_true,beta_short,se_short,covered_short,beta_long,se_long,covered_long,estimation_error,delta_z_hat,nobs_short,nobs_long,instrument_count_short,instrument_count_long,ar2_p_short,ar2_p_long,hansen_p_short,hansen_p_long,estimator_warnings,status,error_stage,error_message
"S_N100_T30_RD20_SAZ200","stress",68,1,19872027,100,30,0.5,0.2,0.5,2,"high_alpha_Z","fe_adl","FE-ADL within",1,1.04546530973838,0.01998866832376,FALSE,1.00199475144274,0.0200279867966806,TRUE,0.00199475144274142,-0.0434705582956345,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,1,19872027,100,30,0.5,0.2,0.5,2,"high_alpha_Z","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.0498671879039,0.0210666765548457,FALSE,1.00838175673468,0.0207370983911672,TRUE,0.008381756734678,-0.0414854311692254,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,1,19872027,100,30,0.5,0.2,0.5,2,"high_alpha_Z","arellano_bond","Arellano-Bond sensitivity",1,1.26805540099995,0.133685935462845,FALSE,1.23454731894635,0.131454714441924,TRUE,0.234547318946346,-0.0335080820536022,2800,2800,4,6,0.368739879701698,0.262710503234186,0.439002062467331,0.140336159087769,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,2,19872028,100,30,0.5,0.2,0.5,2,"high_alpha_Z","fe_adl","FE-ADL within",1,1.03932614101883,0.0184261373255766,FALSE,0.998421259952103,0.0193357763310487,TRUE,-0.00157874004789682,-0.0409048810667316,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,2,19872028,100,30,0.5,0.2,0.5,2,"high_alpha_Z","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.0371868882566,0.0186395441283119,FALSE,0.994650470615205,0.0195605950788582,TRUE,-0.00534952938479461,-0.0425364176413926,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,2,19872028,100,30,0.5,0.2,0.5,2,"high_alpha_Z","arellano_bond","Arellano-Bond sensitivity",1,0.82350908961047,0.14189282631972,TRUE,0.814881027821453,0.141634606180058,TRUE,-0.185118972178547,-0.00862806178901765,2800,2800,4,6,0.986958517401273,0.748273042317147,0.785270020728248,0.881512592779545,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,3,19872029,100,30,0.5,0.2,0.5,2,"high_alpha_Z","fe_adl","FE-ADL within",1,1.03276479190921,0.0192138560341523,TRUE,0.999349120938532,0.0190885712138948,TRUE,-0.000650879061468324,-0.0334156709706799,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,3,19872029,100,30,0.5,0.2,0.5,2,"high_alpha_Z","hpj_fe_adl","split-panel jackknife FE-ADL",1,1.03624500389593,0.0197120743000401,TRUE,0.998425399575747,0.0196878473096761,TRUE,-0.00157460042425284,-0.0378196043201827,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,3,19872029,100,30,0.5,0.2,0.5,2,"high_alpha_Z","arellano_bond","Arellano-Bond sensitivity",1,1.30777400577282,0.156564035826119,FALSE,1.28733015895772,0.159000060933272,TRUE,0.287330158957723,-0.0204438468150969,2800,2800,4,6,0.272551924888733,0.333888498614388,0.459382891187696,0.709652880089435,"","ok",NA,NA
"S_N100_T30_RD20_SAZ200","stress",68,4,19872030,100,30,0.5,0.2,0.5,2,"high_alpha_Z","fe_adl","FE-ADL within",1,1.04169270018513,0.0175327777606164,FALSE,1.00638623229024,0.016979465905291,TRUE,0.00638623229024371,-0.0353064678948825,3000,3000,NA,NA,NA,NA,NA,NA,"","ok",NA,NA
