variant_idx,nl_idx,rho_Z,variant,gamma_D,gamma_Y,nl_type,nl_strength,delta_D2,delta_log4,delta_softpoly2,delta_power15,delta_sin,delta_invlogit,delta_tanh,delta_Dlog
1,1,0.5,pure_mediator,0,0,baseline,0,0,0,0,0,0,0,0,0
1,1,0.7,pure_mediator,0,0,baseline,0,0,0,0,0,0,0,0,0
1,2,0.5,pure_mediator,0,0,Dlog,1,0,0,0,0,0,0,0,0.133037676807855
1,2,0.7,pure_mediator,0,0,Dlog,1,0,0,0,0,0,0,0,0.133037676807855
1,3,0.5,pure_mediator,0,0,invlogit,1,0,0,0,0,0,0.441002576527812,0,0
1,3,0.7,pure_mediator,0,0,invlogit,1,0,0,0,0,0,0.441002576527812,0,0
1,4,0.5,pure_mediator,0,0,log2,1,0.137756950403174,0,0,0,0,0,0,0
1,4,0.7,pure_mediator,0,0,log2,1,0.137756950403174,0,0,0,0,0,0,0
1,5,0.5,pure_mediator,0,0,log4,1,0,0.118394960389256,0,0,0,0,0,0
1,5,0.7,pure_mediator,0,0,log4,1,0,0.118394960389256,0,0,0,0,0,0
1,6,0.5,pure_mediator,0,0,power1.5,1,0,0,0,0.0944687057633921,0,0,0,0
1,6,0.7,pure_mediator,0,0,power1.5,1,0,0,0,0.0944687057633921,0,0,0,0
1,7,0.5,pure_mediator,0,0,sin,1,0,0,0,0,0.124457605431409,0,0,0
1,7,0.7,pure_mediator,0,0,sin,1,0,0,0,0,0.124457605431409,0,0,0
1,8,0.5,pure_mediator,0,0,softpoly2,1,0,0,0.111554204607629,0,0,0,0,0
1,8,0.7,pure_mediator,0,0,softpoly2,1,0,0,0.111554204607629,0,0,0,0,0
1,9,0.5,pure_mediator,0,0,tanh,1,0,0,0,0,0,0,0.114393647238369,0
1,9,0.7,pure_mediator,0,0,tanh,1,0,0,0,0,0,0,0.114393647238369,0
2,1,0.5,mediator_confounder,0.15,0.2,baseline,0,0,0,0,0,0,0,0,0
2,1,0.7,mediator_confounder,0.15,0.2,baseline,0,0,0,0,0,0,0,0,0
2,2,0.5,mediator_confounder,0.15,0.2,Dlog,1,0,0,0,0,0,0,0,0.133037676807855
2,2,0.7,mediator_confounder,0.15,0.2,Dlog,1,0,0,0,0,0,0,0,0.133037676807855
2,3,0.5,mediator_confounder,0.15,0.2,invlogit,1,0,0,0,0,0,0.441002576527812,0,0
2,3,0.7,mediator_confounder,0.15,0.2,invlogit,1,0,0,0,0,0,0.441002576527812,0,0
2,4,0.5,mediator_confounder,0.15,0.2,log2,1,0.137756950403174,0,0,0,0,0,0,0
2,4,0.7,mediator_confounder,0.15,0.2,log2,1,0.137756950403174,0,0,0,0,0,0,0
2,5,0.5,mediator_confounder,0.15,0.2,log4,1,0,0.118394960389256,0,0,0,0,0,0
2,5,0.7,mediator_confounder,0.15,0.2,log4,1,0,0.118394960389256,0,0,0,0,0,0
2,6,0.5,mediator_confounder,0.15,0.2,power1.5,1,0,0,0,0.0944687057633921,0,0,0,0
2,6,0.7,mediator_confounder,0.15,0.2,power1.5,1,0,0,0,0.0944687057633921,0,0,0,0
2,7,0.5,mediator_confounder,0.15,0.2,sin,1,0,0,0,0,0.124457605431409,0,0,0
2,7,0.7,mediator_confounder,0.15,0.2,sin,1,0,0,0,0,0.124457605431409,0,0,0
2,8,0.5,mediator_confounder,0.15,0.2,softpoly2,1,0,0,0.111554204607629,0,0,0,0,0
2,8,0.7,mediator_confounder,0.15,0.2,softpoly2,1,0,0,0.111554204607629,0,0,0,0,0
2,9,0.5,mediator_confounder,0.15,0.2,tanh,1,0,0,0,0,0,0,0.114393647238369,0
2,9,0.7,mediator_confounder,0.15,0.2,tanh,1,0,0,0,0,0,0,0.114393647238369,0
